Annual Maximum Ice Cover,https://www.glerl.noaa.gov/data/ice/#historical,,,,
percent cover,,,,,
Year,Lake Superior,Lake Michigan,Lake Huron,Lake Erie,Lake Ontario
1973,69.8,33,66.7,95.7,62.6
1974,73.8,39.4,61.4,88.5,24.5
1975,64.9,28.1,55.1,80.1,14.9
1976,49.9,29.5,52.5,95.4,15.2
1977,96,93.1,95,99.8,46.7
1978,92.5,66.6,95.8,100,57.7
1979,97.1,92.3,96.4,100,86.2
1980,77.2,38.6,70.3,93.4,30.6
1981,84.7,53.8,93.8,96,47.6
1982,85.3,60.2,93.3,99.1,50.7
1983,20.2,23.6,31.8,40.8,12.5
1984,88.2,43.3,77.6,95.7,40.7
1985,81.9,41.3,87.4,96,38.2
1986,90.7,66.8,73.5,95.5,43.7
1987,14.5,20,43.5,88,8.4
1988,67.3,32.7,60.1,91.5,21.1
1989,82.3,30.9,76.3,91.6,15.5
1990,78.1,32.4,73.8,72.8,29.5
1991,89.6,21.5,43.8,35.1,11.6
1992,73.3,32.8,69.9,89.8,17.5
1993,77.2,32.2,78.3,94.3,29
1994,96.1,82.7,96.9,96.7,55.7
1995,28.8,21.6,41.7,94,18.8
1996,100,75,98.2,100,45.1
1997,89,37.8,65.3,99.6,25.6
1998,11.1,15.1,28.6,5.4,6.2
1999,18.3,23,36,74.8,17.9
2000,33.5,27.2,41.9,90.7,22.3
2001,46.7,29.5,45.7,94,17.9
2002,10.3,12.4,26.1,14.4,4
2003,95.5,48,96.2,95.7,49.6
2004,52.2,36.4,64.5,95.4,38.5
2005,54.5,29.4,58.9,93,37.8
2006,16.7,16.1,32.2,21.9,14.2
2007,51.8,37.2,71.4,95.8,23.8
2008,62.7,33.5,59.5,93.4,14
2009,93.6,52.3,85.1,95.5,25.9
2010,27.3,23.5,37,93.1,13.1
2011,33.6,29.4,63.8,95.8,31.1
2012,8.2,16.7,23.1,13.9,1.9
2013,38.6,24.4,47.8,83.7,15.6
2014,95.8,93.1,96.1,96.1,60.8
2015,95.7,72.9,96.4,98.1,82.4
2016,22.7,26.8,48,78.7,23.5
2017,18.7,18.2,35.4,35.5,5.8
2018,77.2,51.3,81.4,95.1,24.7
2019,94.9,55.8,95.7,94.3,39.8
2020,22.6,17.2,32.1,15.9,10.7
2021,50.6,33.3,48.3,85.7,20.6
2022,79.5,37.5,67.2,93.8,29.4
2023,19.8,21.5,34.4,40.2,16.4
2024,12,18.3,22.6,35.7,5.3
