Water Levels,,Averaged monthly mean water levels from Coordinating Committee (per Lauren Fry on 3/16/2022),,,
annual average (IGLD85 m),,http://www.greatlakescc.org/wp36/home/coordinating-committee-products-and-datasets/,,,
Year,Lake Erie,Lakes Michigan and Huron,Lake Ontario,Lake Superior,Great Lakes 
1918,174.02,176.89,74.87,183.33,152.2775
1919,174.18,176.75,74.96,183.4,152.3225
1920,173.91,176.63,74.57,183.43,152.135
1921,174.03,176.49,74.67,183.36,152.1375
1922,173.93,176.45,74.66,183.32,152.09
1923,173.76,176.26,74.44,183.22,151.92
1924,173.84,176.19,74.56,183.13,151.93
1925,173.59,175.92,74.39,183.03,151.7325
1926,173.64,175.89,74.4,182.94,151.7175
1927,173.82,176.15,74.61,183.32,151.975
1928,173.95,176.44,74.8,183.47,152.165
1929,174.31,176.9,75.09,183.5,152.45
1930,174.27,176.65,75.08,183.44,152.36
1931,173.71,176.12,74.36,183.33,151.88
1932,173.74,175.94,74.5,183.43,151.9025
1933,173.68,175.87,74.28,183.45,151.82
1934,173.33,175.77,74.02,183.5,151.655
1935,173.41,175.89,74,183.51,151.7025
1936,173.49,175.94,74.16,183.46,151.7625
1937,173.82,175.92,74.5,183.45,151.9225
1938,173.84,176.14,74.52,183.56,152.015
1939,173.85,176.27,74.49,183.56,152.0425
1940,173.8,176.14,74.43,183.38,151.9375
1941,173.7,176.12,74.41,183.44,151.9175
1942,173.88,176.33,74.52,183.54,152.0675
1943,174.23,176.63,75.13,183.61,152.4
1944,174.09,176.6,74.85,183.51,152.2625
1945,174.19,176.57,75.06,183.54,152.34
1946,174.14,176.6,74.99,183.52,152.3125
1947,174.24,176.57,75.17,183.55,152.3825
1948,174.22,176.53,75.08,183.39,152.305
1949,173.97,176.21,74.74,183.44,152.09
1950,174.14,176.26,74.89,183.63,152.23
1951,174.32,176.74,75.25,183.7,152.5025
1952,174.52,177.09,75.37,183.63,152.6525
1953,174.33,176.93,75.02,183.48,152.44
1954,174.29,176.83,74.98,183.41,152.3775
1955,174.35,176.72,75.15,183.34,152.39
1956,174.12,176.44,74.92,183.33,152.2025
1957,174.04,176.26,74.63,183.32,152.0625
1958,173.81,176.07,74.43,183.31,151.905
1959,173.85,176.01,74.48,183.4,151.935
1960,174.09,176.48,74.71,183.42,152.175
1961,174.1,176.38,74.61,183.31,152.1
1962,173.91,176.22,74.64,183.31,152.02
1963,173.73,175.92,74.66,183.3,151.9025
1964,173.61,175.68,74.29,183.34,151.73
1965,173.71,175.92,74.4,183.34,151.8425
1966,173.9,176.16,74.69,183.4,152.0375
1967,174.06,176.3,74.86,183.39,152.1525
1968,174.2,176.45,74.8,183.49,152.235
1969,174.39,176.7,74.75,183.51,152.3375
1970,174.26,176.68,74.69,183.45,152.27
1971,174.31,176.81,74.72,183.58,152.355
1972,174.5,176.89,74.94,183.55,152.47
1973,174.74,177.12,75.21,183.6,152.6675
1974,174.69,177.09,75.07,183.62,152.6175
1975,174.62,176.97,74.81,183.59,152.4975
1976,174.57,176.9,75.04,183.48,152.4975
1977,174.3,176.51,74.76,183.37,152.235
1978,174.37,176.59,74.92,183.44,152.33
1979,174.39,176.79,74.84,183.49,152.3775
1980,174.52,176.8,74.82,183.44,152.395
1981,174.4,176.7,74.79,183.36,152.3125
1982,174.43,176.6,74.75,183.42,152.3
1983,174.52,176.83,74.82,183.57,152.435
1984,174.52,176.9,74.9,183.54,152.465
1985,174.73,177.13,74.88,183.67,152.6025
1986,174.9,177.29,75.15,183.73,152.7675
1987,174.67,176.97,74.85,183.47,152.49
1988,174.26,176.56,74.68,183.32,152.205
1989,174.23,176.4,74.76,183.4,152.1975
1990,174.29,176.35,74.8,183.26,152.175
1991,174.33,176.47,74.87,183.35,152.255
1992,174.36,176.48,74.83,183.4,152.2675
1993,174.51,176.7,75.04,183.45,152.425
1994,174.37,176.68,74.76,183.44,152.3125
1995,174.28,176.53,74.74,183.34,152.2225
1996,174.37,176.65,74.87,183.55,152.36
1997,174.72,176.98,74.96,183.6,152.565
1998,174.55,176.72,74.91,183.32,152.375
1999,174.1,176.24,74.57,183.27,152.045
2000,173.99,175.98,74.78,183.18,151.9825
2001,173.91,175.95,74.7,183.2,151.94
2002,174.06,176.12,74.79,183.29,152.065
2003,173.97,175.89,74.71,183.19,151.94
2004,174.12,176.11,74.85,183.3,152.095
2005,174.17,176.09,74.81,183.33,152.1
2006,174.14,176.02,74.83,183.18,152.0425
2007,174.14,175.94,74.75,182.97,151.95
2008,174.16,176.01,74.88,183.21,152.065
2009,174.25,176.26,74.87,183.26,152.16
2010,174.06,176.11,74.67,183.15,151.9975
2011,174.24,176.04,74.8,183.09,152.0425
2012,174.13,175.92,74.7,183.1,151.9625
2013,174.06,175.9,74.74,183.22,151.98
2014,174.21,176.3,74.77,183.51,152.1975
2015,174.32,176.59,74.74,183.57,152.305
2016,174.41,176.7,74.8,183.58,152.3725
2017,174.58,176.77,75.18,183.63,152.54
2018,174.67,176.87,74.9,183.63,152.5175
2019,174.84,177.14,75.27,183.75,152.75
2020,174.89,177.31,75.03,183.7,152.7325
2021,174.67,176.93,74.72,183.48,152.45
2022,174.4866667,176.65,74.80666667,183.4583333,152.3504167
2023,174.5242857,176.5571429,75.02285714,183.5614286,152.4164286
