Surface Temperature,,,,,,
Degrees Celsius,,,,,,
Year,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Great Lakes
1995,10.94835616,8.412821918,9.500739726,9.904712329,5.934849315,8.94029589
1996,10.26598361,7.263224044,7.807322404,8.694590164,4.399863014,7.686196647
1997,10.24635616,7.604520548,8.411013699,9.118821918,5.184547945,8.113052054
1998,12.36249315,9.673972603,10.91158904,10.96758904,7.968136986,10.37675616
1999,11.62728767,9.43460274,10.28254795,10.80520548,6.877479452,9.805424658
2000,11.17704918,8.834836066,9.924535519,9.936393443,6.908739726,9.356310787
2001,11.03421918,8.448821918,9.268356164,9.664328767,5.984191781,8.879983562
2002,11.30671233,9.267753425,10.13238356,10.75284932,6.545753425,9.601090412
2003,10.43191781,7.855561644,8.712383562,8.960739726,5.66969863,8.326060274
2004,11.22896175,8.468032787,9.283442623,9.821557377,5.976684932,8.955735894
2005,11.65539726,9.420630137,10.44523288,10.75835616,7.350273973,9.925978082
2006,11.45786301,9.27909589,10.07435616,10.67816438,7.756164384,9.849128765
2007,11.63860274,8.981780822,10.07342466,10.36884932,6.577917808,9.52811507
2008,10.78245902,8.548497268,9.142568306,9.905218579,6.294219178,8.93459247
2009,10.91043836,8.226246575,8.862356164,9.612767123,5.705178082,8.663397261
2010,11.69320548,9.612219178,10.52638356,10.83030137,7.745452055,10.08151233
2011,11.50671233,8.931287671,9.697671233,10.62884932,6.819917808,9.516887672
2012,12.72775956,10.31931694,11.2973224,12.04464481,8.406630137,10.95913477
2013,11.19454795,9.103753425,9.814575342,10.74161644,6.401150685,9.451128768
2014,10.60167123,7.708054795,7.963150685,9.172383562,4.856794521,8.060410959
2015,11.34210959,8.688465753,9.245616438,9.726739726,6.210520548,9.042690411
2016,12.6539071,10.28967213,11.2445082,11.77964481,8.051260274,10.8037985
2017,11.94627397,9.57739726,10.41024658,11.10115068,6.918876712,9.99078904
2018,11.56490411,8.78,9.872493151,10.60227397,5.869589041,9.337852054
2019,11.22758904,8.217863014,9.110109589,9.795616438,6.048438356,8.879923287
2020,12.09786885,9.443989071,10.25879781,11.29112022,6.731068493,9.964568889
2021,12.44893151,10.16224658,10.99832877,11.68032877,8.14090411,10.68614795
2022,11.62476712,9.02139726,9.77890411,11.00520548,5.724547945,9.430964383
2023,12.01452055,9.785890411,10.53416438,11.41446575,6.971424658,10.14409315
