Sea Surface Temperature,,,,,,,,
Degrees Celsius,,,,,,,,
Year,Gulf of Mexico,Insular Hawaiian LME,Northeast,Southeast,Caribbean,California Current,National,Alaska
1985,24.938986,24.145117,15.80005,24.571554,27.04492,13.431456,15.40159899,6.0416965
1986,25.139334,24.346962,15.603098,24.73969,27.056763,13.89497,14.40404813,6.246872
1987,24.61775,24.20849,14.871674,24.521578,27.7822,13.950982,14.45044269,6.2566857
1988,24.407272,24.86584,14.465184,23.933182,27.497152,13.471602,15.31515862,6.0954785
1989,25.17421,24.641495,15.2455225,24.515615,27.050758,13.675428,14.34084531,6.030686
1990,25.208838,24.385073,15.393344,24.71037,27.249817,14.014664,14.33174385,6.106015
1991,25.189892,24.467821,15.557822,24.641472,27.173864,13.2484045,15.64385452,6.4683943
1992,24.618849,24.17391,14.687213,24.147648,27.283228,14.638365,15.32684827,6.0157847
1993,24.803885,24.280512,14.942652,24.209864,27.341898,14.118228,14.20047297,6.0587873
1994,24.953762,24.385544,15.482084,24.391981,27.275373,14.118012,15.56753193,6.250202
1995,25.10515,24.471449,15.80421,24.442413,27.576525,14.313568,14.37351626,6.038943
1996,24.739023,24.589787,14.1508045,23.993998,27.22002,14.048057,14.09251261,6.275018
1997,25.019264,24.339077,14.943785,24.631702,27.393736,14.706582,14.31948907,6.117192
1998,25.174349,24.228003,15.438169,24.769361,27.952002,14.195539,14.27198541,5.403499
1999,25.384613,24.634188,16.334444,24.648046,27.56478,12.998245,13.95272255,5.207689
2000,25.36425,24.87139,15.7100525,24.431063,27.238485,13.596923,14.01947105,5.582505
2001,25.046268,24.812412,15.978967,24.35674,27.47367,13.356164,14.22961061,5.8732023
2002,25.363295,24.686382,16.212189,24.844828,27.588972,13.316786,14.1649575,5.5216312
2003,25.122654,24.6807,15.248229,24.771885,27.790146,14.171947,14.23402687,5.9718475
2004,25.206861,24.790247,15.164491,24.600115,27.584936,14.252705,14.4574682,6.1318827
2005,25.246117,24.749323,15.46383,24.435122,28.026638,14.020198,14.49895103,6.516151
2006,25.451515,24.852604,16.049677,24.320446,27.921495,13.782999,14.39612255,6.008335
2007,25.410044,24.887897,15.5541935,24.753271,27.882793,13.505561,14.49225181,5.823864
2008,25.13799,24.929472,16.13091,24.586052,27.574688,12.970709,14.28749291,5.5200353
2009,25.37242,24.7401,15.978201,24.608608,27.651266,13.452736,14.29761755,5.7185893
2010,24.850445,24.665823,16.113409,24.666569,28.212439,13.427449,14.512618,5.9092064
2011,25.22828,24.921175,16.252756,24.621801,27.775818,13.416221,14.52261718,5.8193274
2012,25.562914,24.722387,17.098467,24.73723,27.830963,13.348802,14.29969085,5.1904364
2013,25.27688,24.847221,16.203133,24.632915,27.656431,13.745292,14.36700084,6.135047
2014,25.192411,24.979437,16.32285,24.819298,27.680275,14.950623,14.7725157,6.540068
2015,25.92816,24.940876,16.801697,25.112339,27.788128,15.441656,14.78180637,6.46121
2016,25.878128,25.00397,16.964655,25.170029,28.03316,14.729758,14.87729996,6.3472567
2017,25.705517,25.224745,16.330729,25.179955,27.850946,14.245141,14.81686189,6.1400943
2018,25.696709,24.754023,16.392313,25.016012,27.576622,14.334828,14.60365501,6.496295
2019,25.697153,25.275925,16.568893,25.30345,27.885496,14.413498,15.11646817,6.7240534
2020,25.739721,25.253338,16.591732,25.284904,28.148367,14.289869,14.83362967,6.474172
2021,25.54152,25.155163,17.008642,24.946371,27.846752,13.672649,14.72030889,6.350329
2022,25.923355,25.386055,17.249247,25.26591,27.797129,13.967462,14.78703338,6.236045
2023,26.19544,25.079046,16.82453,25.267641,28.2848,14.074157,14.73372769,6.295975
