Billion Dollar Disasters,,,,,,,,,,data: https://www.ncei.noaa.gov/access/billions/
Freuqency,,,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Northeast,Southeast,Great Lakes,National,
1980,0,0,0,3,0,1,1,1,3,
1981,0,0,0,2,0,0,1,0,2,
1982,0,0,0,3,0,3,2,3,3,
1983,0,2,0,4,0,2,3,1,6,
1984,0,0,0,1,0,1,1,1,2,
1985,0,0,0,4,0,4,4,4,7,
1986,0,1,0,1,0,1,1,0,3,
1987,0,0,0,0,0,0,0,0,0,
1988,0,0,0,1,0,1,0,1,1,
1989,0,0,1,5,0,3,4,2,6,
1990,0,2,0,1,0,0,0,0,4,
1991,0,2,0,1,0,3,1,3,4,
1992,0,0,0,4,1,2,3,2,7,
1993,0,1,0,2,0,2,2,3,5,
1994,0,1,0,5,0,2,3,3,6,
1995,0,1,1,5,0,2,3,2,7,
1996,0,1,0,2,0,2,2,2,5,
1997,0,1,0,1,0,1,1,2,3,
1998,0,2,1,5,0,5,4,3,11,
1999,0,0,0,3,0,5,4,5,5,
2000,0,2,0,4,0,1,3,0,5,
2001,0,0,0,2,0,2,1,3,3,
2002,1,2,0,6,0,3,5,3,6,
2003,1,2,0,3,0,5,2,7,7,
2004,0,0,1,4,0,5,4,4,6,
2005,0,1,0,5,0,1,5,1,6,
2006,1,1,0,4,0,1,3,7,8,
2007,1,3,0,4,0,3,4,4,5,
2008,0,3,0,7,0,5,3,7,12,
2009,1,2,0,7,0,3,4,3,9,
2010,0,0,0,1,0,5,2,5,7,
2011,0,1,0,11,0,11,9,14,18,
2012,0,2,0,8,0,4,4,6,11,
2013,0,1,0,5,0,2,2,7,10,
2014,0,1,0,6,0,4,3,6,10,
2015,1,2,0,7,0,5,5,6,11,
2016,0,2,0,13,0,7,6,6,15,
2017,0,3,2,10,0,8,5,7,19,
2018,0,2,0,8,0,8,6,6,16,
2019,1,1,1,9,0,5,2,6,14,
2020,0,2,0,17,0,12,11,10,22,
2021,0,4,0,15,0,10,7,12,20,
2022,1,8,1,11,0,7,7,12,18,
