Commercial Fishing Engagement,,,,,,,
% Moderately/Highly Engaged,,,,,,,
Year,Alaska,Hawaii-Pacific Islands,California Current,Northeast US,Southeast US,Gulf of Mexico,Nationwide
2009,20.300,65.000,8.300,11.200,20.000,20.600,13.600
2010,19.700,47.700,6.900,12.000,23.300,24.100,13.800
2011,22.500,52.300,7.200,11.800,23.300,24.100,14.200
2012,23.100,56.800,6.700,11.400,21.100,18.700,13.200
2013,23.400,59.100,5.500,12.200,22.700,20.400,13.700
2014,23.100,52.300,7.000,11.300,20.300,17.400,12.800
2015,22.300,56.800,6.800,11.400,21.400,19.000,13.300
2016,23.400,54.500,6.400,11.400,21.100,19.300,13.300
2017,22.900,45.500,6.800,11.000,22.000,17.900,12.900
2018,24.300,45.500,7.000,10.500,18.400,16.400,12.300
2019,24.600,45.500,7.700,10.700,17.300,15.500,12.400
2020,23.400,45.500,6.900,10.900,18.600,16.500,12.300
