Commercial Fishing Landings,,,,,,,
Million Metric Tons,,,,,,,
Year,Alaska,California Current,Gulf of Mexico,Hawaii,Northeast,Southeast,National
1950,0.218766,0.778579,0.258841,NA,0.930818,0.040163,2.227167
1951,0.184944,0.588096,0.294687,NA,0.88971,0.069361,2.026798
1952,0.169729,0.477265,0.34451,NA,0.940233,0.088956,2.020693
1953,0.134703,0.447823,0.344459,NA,1.072269,0.060735,2.059989
1954,0.153147,0.470942,0.342331,NA,1.152303,0.051164,2.169887
1955,0.14303,0.475444,0.376322,NA,1.160255,0.051474,2.206525
1956,0.194206,0.497069,0.408134,NA,1.246533,0.064968,2.41091
1957,0.168338,0.456291,0.313859,NA,1.199757,0.044467,2.182712
1958,0.171952,0.509629,0.366887,NA,1.096467,0.038739,2.183674
1959,0.146749,0.410777,0.523882,NA,1.191193,0.057199,2.3298
1960,0.162257,0.426087,0.574231,NA,1.06026,0.051543,2.274378
1961,0.187548,0.46452,0.624653,NA,1.066537,0.052388,2.395646
1962,0.194692,0.441868,0.652399,NA,1.142632,0.055806,2.487397
1963,0.177782,0.437593,0.636861,NA,0.937227,0.05174,2.241203
1964,0.223448,0.41266,0.603886,NA,0.828836,0.044114,2.112944
1965,0.223258,0.418136,0.663506,NA,0.854409,0.055653,2.214962
1966,0.263844,0.412018,0.542021,NA,0.727983,0.053,1.998866
1967,0.163905,0.469085,0.533556,NA,0.650823,0.058176,1.875545
1968,0.24936,0.425096,0.584605,NA,0.676457,0.048653,1.984171
1969,0.175129,0.48642,0.732172,NA,0.580258,0.045213,2.019192
1970,0.247358,0.53882,0.736008,NA,0.669217,0.048409,2.239812
1971,0.213743,0.50187,0.950821,NA,0.628826,0.051972,2.347232
1972,0.206734,0.540041,0.720263,NA,0.744846,0.050127,2.262011
1973,0.211506,0.577385,0.700234,NA,0.732474,0.046401,2.268
1974,0.210054,0.574843,0.805496,NA,0.697893,0.04444,2.332726
1975,0.201462,0.657907,0.750266,NA,0.65082,0.042988,2.303443
1976,0.294841,0.667118,0.790448,NA,0.739462,0.041919,2.533788
1977,0.306148,0.633101,0.672427,NA,0.781711,0.043365,2.436752
1978,0.355799,0.588062,1.013705,NA,0.800753,0.035307,2.793626
1979,0.400021,0.640788,0.951973,NA,0.896593,0.044986,2.934361
1980,0.452962,0.627707,0.87859,NA,0.961329,0.054674,2.975262
1981,0.447103,0.565995,0.762454,0.006076,0.902265,0.047932,2.731825
1982,0.401898,0.536906,1.042543,0.006461,0.877318,0.055754,2.92088
1983,0.443995,0.358461,1.141707,0.013077,0.89254,0.051067,2.900847
1984,0.448039,0.356571,1.19521,0.015796,0.831501,0.060231,2.907348
1985,0.541821,0.366885,1.096333,0.007705,0.818369,0.041965,2.873078
1986,0.592791,0.36521,1.073623,0.004804,0.686782,0.038562,2.761772
1987,0.78074,0.425667,1.148979,0.007061,0.755453,0.044293,3.162193
1988,1.209413,0.45361,0.863828,0.009585,0.751593,0.04405,3.332079
1989,1.814493,0.496303,0.807729,0.011066,0.77387,0.044401,3.947862
1990,2.30248,0.443918,0.75285,0.012058,0.87415,0.043402,4.428858
1991,2.271777,0.414116,0.758539,0.012547,0.857709,0.03844,4.353128
1992,2.608612,0.387957,0.646832,0.012652,0.799569,0.040127,4.495749
1993,2.424807,0.385178,0.779263,0.015686,0.858829,0.041544,4.505307
1994,2.377714,0.388352,0.980414,0.012288,0.760135,0.042501,4.561404
1995,2.35958,0.425605,0.675387,0.013559,0.849775,0.044645,4.368551
1996,2.23053,0.437916,0.68944,0.014456,0.828452,0.036402,4.237196
1997,2.211915,0.455414,0.821759,0.016587,0.808837,0.032941,4.347453
1998,2.238604,0.296443,0.715006,0.016523,0.770905,0.027567,4.065048
1999,2.037852,0.442756,0.909211,0.016741,0.676326,0.028109,4.110995
2000,2.025758,0.46579,0.814386,0.014756,0.655857,0.030589,4.007136
2001,2.284468,0.414592,0.731726,0.009403,0.727652,0.028114,4.195955
2002,2.298042,0.400391,0.784222,0.010569,0.658391,0.025356,4.176971
2003,2.406768,0.361944,0.723894,0.010789,0.685253,0.026294,4.214942
2004,2.42885,0.367308,0.658666,0.011095,0.73891,0.029988,4.234817
2005,2.563416,0.380326,0.54135,0.01275,0.676325,0.019847,4.194014
2006,2.459069,0.403455,0.642226,0.011662,0.684247,0.020778,4.221437
2007,2.41063,0.394529,0.639615,0.01312,0.637868,0.019911,4.115673
2008,2.056874,0.324181,0.587209,0.013892,0.626672,0.021466,3.630294
2009,1.846593,0.347033,0.724635,0.011996,0.648842,0.02095,3.600049
2010,1.972896,0.393688,0.578861,0.012442,0.676642,0.022324,3.656853
2011,2.429122,0.417116,0.802206,0.013332,0.674178,0.02676,4.362714
2012,2.425148,0.404155,0.757043,0.014086,0.685106,0.024809,4.310347
2013,2.627123,0.44966,0.613159,0.014702,0.576556,0.024059,4.305259
2014,2.572502,0.39191,0.564174,0.015171,0.596969,0.024581,4.165307
2015,2.727994,0.254129,0.704661,0.016625,0.59776,0.022758,4.323927
2016,2.533752,0.264941,0.788017,0.015902,0.577926,0.021503,4.202041
2017,2.724408,0.340489,0.635858,0.016971,0.5669,0.025952,4.310578
2018,2.451127,0.32097,0.700014,0.016165,0.57648,0.02378,4.088536
2019,2.554381,0.290648,0.638249,0.01576,0.550284,0.029766,4.079088
2020,2.296097,0.279371,0.548383,0.012367,0.492802,0.027593,3.656613
2021,2.39135,0.291521,0.514571,0.013445,0.484687,0.023303,3.718877
2022,2.185433,0.285564,0.621212,0.01324,0.439382,0.024006,3.568837
