Chlorophyll-a,,,,,,,,,
mg/m3,,,,,,,,,
Year,California Current,Northeast,Eastern Bering Sea,Insular Hawaiian LME,Gulf of Mexico,Caribbean,Southeast,Gulf of Alaska,National
1998,0.158287767,0.78109324,0.658175051,0.071922284,0.167389888,0.128397483,0.209393196,0.501778662,0.334554697
1999,0.194770299,0.862457037,0.533447683,0.06774199,0.143723693,0.119837754,0.184361007,0.587666869,0.336750791
2000,0.173853025,0.854289085,0.624579012,0.063979663,0.13882146,0.126823627,0.159243129,0.517943785,0.332441598
2001,0.190179125,0.841735557,0.714770824,0.069544233,0.154626414,0.127468128,0.172775626,0.509289205,0.347548639
2002,0.2207064,0.914730132,0.784057826,0.069975728,0.154484794,0.131389245,0.168234929,0.651616752,0.386899476
2003,0.202526599,0.896097884,0.755417615,0.069944303,0.161248319,0.128042135,0.241931304,0.534003019,0.373651397
2004,0.174587682,0.848415047,0.719175369,0.070512181,0.153479368,0.125057774,0.202850826,0.519089177,0.351645928
2005,0.172168065,0.842036054,0.622343719,0.067421123,0.152598664,0.113166722,0.196846694,0.46802184,0.32932536
2006,0.199583679,0.98927322,0.663482428,0.067460287,0.141361572,0.125247745,0.190373126,0.585144907,0.370240871
2007,0.233736895,0.908509016,0.56691809,0.065566927,0.158670947,0.1256493,0.174717873,0.614923716,0.356086595
2008,0.254135367,0.935296029,0.629380405,0.063763186,0.172807336,0.11666688,0.201286472,0.598838449,0.371521765
2009,0.209547788,0.963101238,0.599101126,0.065695658,0.150621198,0.128096905,0.203737371,0.570983678,0.36136062
2010,0.214308858,0.985841781,0.800042003,0.074782476,0.177413058,0.130594499,0.191977039,0.601253301,0.397026627
2011,0.221591659,1.109654903,0.60532558,0.066789959,0.162758395,0.124825738,0.198944245,0.675069153,0.395619954
2012,0.20086325,0.971535534,0.545562625,0.062421737,0.132009774,0.122743499,0.178526573,0.631803274,0.355683283
2013,0.226878054,0.917771518,0.594617508,0.065040998,0.145313811,0.114345625,0.168427941,0.7227301,0.369390694
2014,0.157434598,0.964038268,0.701298922,0.06648232,0.156907611,0.119299796,0.176948063,0.633172229,0.371947726
2015,0.133492336,0.933425337,0.673041135,0.065398037,0.167346321,0.129623547,0.193568863,0.546229363,0.355265617
2016,0.142788801,0.954160392,0.8163234,0.065814296,0.150271885,0.116656,0.198819026,0.530826539,0.371957542
2017,0.159301266,0.918692201,0.613588125,0.062244376,0.138513111,0.124130972,0.18609656,0.549401298,0.343995989
2018,0.157907698,0.895840049,0.631324768,0.068289083,0.147661515,0.134146459,0.195164353,0.563787699,0.349265203
2019,0.180034809,0.923108101,0.758857667,0.062109713,0.177795738,0.120143738,0.193222687,0.567846924,0.372889922
2020,0.193925962,0.958013505,0.706246525,0.065152841,0.169805229,0.117005531,0.183863606,0.580332831,0.371793254
2021,0.240778901,0.762601852,0.641630888,0.06922324,0.184242956,0.150131717,0.197629042,0.603374153,0.356201594
