Sea Surface Temperature,,,,,,,,,
Degrees Celsius,,,,,,,,,
Year,Gulf of Mexico,Insular Hawaiian LME,Gulf of Alaska,Northeast,Southeast,Caribbean,California Current,Eastern Bering Sea,National
1985,25.6444524,24.14512791,8.515761848,12.13666757,25.00833377,27.19861712,16.42770546,5.173574831,18.03128011
1986,25.68853222,24.34697402,9.002719992,11.99179314,25.27411675,27.14096256,16.74524374,5.332493452,18.19035448
1987,25.30964629,24.20851001,9.112746473,11.23875004,24.99524805,27.71495185,16.65294252,5.426407556,18.08240035
1988,25.18152001,24.8658501,8.684430148,11.19181103,24.45949226,27.56669256,16.22783112,5.231122135,17.92609367
1989,25.84037933,24.64151144,8.898933032,11.85691561,24.99315067,27.28122152,16.43378737,5.233893798,18.1474741
1990,25.84588575,24.38508454,8.92108303,12.21234341,25.28111524,27.45728648,16.97276205,5.493053119,18.3210767
1991,25.92398498,24.4678353,8.642990168,12.21372679,25.11069648,27.35170148,16.20099703,5.85712886,18.22113264
1992,25.41505404,24.17391649,9.010245153,11.13508341,24.65538284,27.42134743,17.53789957,5.249131997,18.07475762
1993,25.51098981,24.28052403,9.325611987,11.59908298,24.74339336,27.48539815,17.00001621,5.556766543,18.18772288
1994,25.77372461,24.38555297,9.102838525,11.95948862,24.83218694,27.48012585,16.87581364,5.306608656,18.21454248
1995,25.86466595,24.47145959,8.934724093,12.23505433,24.9936288,27.81595008,16.96622392,5.498604173,18.34753887
1996,25.46403217,24.58978779,8.816184308,10.96857867,24.46143695,27.42478968,16.95001037,5.522892105,18.02471401
1997,25.78732694,24.33908646,9.506685768,11.6557925,25.13927229,27.50618066,17.51958355,5.848112098,18.41275503
1998,25.82194186,24.22800934,9.275232775,12.03102201,25.14803031,27.92301481,16.87805405,4.863139608,18.2710556
1999,25.97376159,24.63420171,8.210868682,12.94209875,25.07234417,27.63089169,15.6363268,4.801795015,18.11278605
2000,25.95820932,24.87139694,8.694601304,12.33482039,24.89730869,27.28432005,16.33429061,5.061323602,18.17953386
2001,25.75507469,24.81242207,8.679192175,12.42249847,24.85084191,27.3736136,16.25213721,4.892598914,18.12979738
2002,26.04805687,24.68639303,8.9516919,12.84379733,25.31289039,27.65803679,16.11656898,5.644017937,18.40768165
2003,25.92054027,24.68071205,9.530658642,11.75342295,25.14564364,27.92371044,16.83804087,5.995290928,18.47350247
2004,25.95115614,24.79025605,9.565696553,11.58017365,24.93597957,27.72245298,16.8628272,6.054702061,18.43290553
2005,25.95465458,24.74933243,9.63207961,11.90934686,24.86445693,28.04429022,16.65165284,5.822178676,18.45349902
2006,26.13428459,24.85261508,8.888619408,12.58893613,24.80804065,27.90450064,16.61963613,5.505437979,18.41275883
2007,26.06438048,24.88790535,8.526301386,12.16429816,25.21684149,27.92964235,16.22812546,5.227997307,18.2806865
2008,25.91672838,24.92947765,8.046552961,12.25996874,24.92160994,27.74295996,16.0377568,5.563705154,18.17734495
2009,26.14856719,24.740115,8.427157001,12.18437333,25.01871456,27.73975384,16.54002471,5.399365488,18.27475889
2010,25.5763569,24.66583302,8.75875042,12.62645801,25.0068892,28.16915066,16.11481753,5.440820443,18.29488452
2011,25.88702074,24.92119075,8.572931922,12.58172823,25.05721553,27.94055946,16.01161716,5.361219093,18.29168536
2012,26.2967485,24.72240051,8.257166193,13.67958162,25.12213057,27.84478196,16.24561519,5.248826032,18.42715632
2013,26.04695141,24.84723207,8.974058142,12.61235968,25.00169804,27.87239332,16.63123388,5.784368675,18.4712869
2014,25.98676036,24.97944626,9.786009248,12.45280471,25.25907885,27.81712702,17.94668682,6.393422972,18.82766703
2015,26.56748065,24.94087916,10.158024,12.76369136,25.53426144,27.88316071,18.43738277,6.250661358,19.06694268
2016,26.60401196,25.00397675,10.19098828,13.12305466,25.62263282,28.14385804,17.57558244,6.863974471,19.14100993
2017,26.43650563,25.22475369,9.295082234,12.77854083,25.49500052,28.05006647,17.08140727,6.102831934,18.80802357
2018,26.39239999,24.75403704,9.665048821,12.74901176,25.33782457,27.72424273,17.25063723,6.130710633,18.7504891
2019,26.4702536,25.27465134,10.04469629,12.58316307,25.6226658,28.04977176,17.22257607,6.445126031,18.964113
2020,26.54069198,25.25334169,9.477900378,12.94570819,25.72095369,28.27544993,17.22449795,6.308114006,18.96833223
2021,26.35603239,25.15517295,8.941767708,13.4195433,25.28189514,27.98926775,16.59599029,6.015241028,18.71936382
