Billion Dollar Disasters,,,,,,,,,,data: https://www.ncei.noaa.gov/access/billions/
Freuqency,,,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Northeast,Southeast,Great Lakes,National,
1980,0,0,0,3,0,1,1,1,6,
1981,0,0,0,2,0,0,1,0,3,
1982,0,0,0,3,0,3,2,3,11,
1983,0,2,0,4,0,2,3,1,12,
1984,0,0,0,1,0,1,1,1,4,
1985,0,0,0,4,0,4,4,4,16,
1986,0,1,0,1,0,1,1,0,4,
1988,0,0,0,1,0,1,0,1,3,
1989,0,0,1,5,0,3,4,2,15,
1990,0,2,0,1,0,0,0,0,3,
1991,0,2,0,1,0,3,1,3,10,
1992,0,0,0,4,1,2,3,2,12,
1993,0,1,0,2,0,2,2,3,10,
1994,0,1,0,5,0,2,3,3,14,
1995,0,1,1,5,0,2,3,2,14,
1996,0,1,0,2,0,2,2,2,9,
1997,0,1,0,1,0,1,1,2,6,
1998,0,2,1,5,0,5,4,3,20,
1999,0,0,0,3,0,5,4,5,17,
2000,0,2,0,4,0,1,3,0,10,
2001,0,0,0,2,0,2,1,3,8,
2002,1,2,0,6,0,3,5,3,20,
2003,1,2,0,3,0,5,2,7,20,
2004,0,0,1,4,0,5,4,4,18,
2005,0,1,0,5,0,1,5,1,13,
2006,1,1,0,4,0,1,3,7,17,
2007,1,3,0,4,0,3,4,4,19,
2008,0,3,0,7,0,5,3,7,25,
2009,1,2,0,7,0,3,4,3,20,
2010,0,0,0,1,0,5,2,5,13,
2011,0,1,0,11,0,11,9,14,46,
2012,0,2,0,8,0,4,4,6,24,
2013,0,1,0,5,0,2,2,7,17,
2014,0,1,0,6,0,4,3,6,20,
2015,1,2,0,7,0,5,5,6,26,
2016,0,2,0,13,0,7,6,6,34,
2017,0,3,2,10,0,8,5,7,35,
2018,0,2,0,8,0,8,6,6,30,
2019,1,1,1,9,0,5,2,6,25,
2020,0,2,0,17,0,12,11,10,52,
2021,0,4,0,15,0,10,7,12,48,
