"","x","y","title","region"
"1",1,-0.391006297048866,"Banana","Island"
"2",2,-0.103807132865104,"Banana","Island"
"3",3,-0.452434566854883,"Banana","Island"
"4",4,-1.37532698273488,"Banana","Island"
"5",5,-1.66453518795572,"Banana","Island"
"6",6,-1.89100629704887,"Banana","Island"
"7",7,-1.6038071328651,"Banana","Island"
"8",8,-1.95243456685488,"Banana","Island"
"9",9,-2.87532698273488,"Banana","Island"
"10",10,-3.16453518795572,"Banana","Island"
"11",11,-3.39100629704887,"Banana","Island"
"12",12,-3.1038071328651,"Banana","Island"
"13",13,-3.45243456685488,"Banana","Island"
"14",14,-4.37532698273488,"Banana","Island"
"15",15,-4.66453518795572,"Banana","Island"
"16",16,-4.89100629704887,"Banana","Island"
"17",17,-4.6038071328651,"Banana","Island"
"18",18,-4.95243456685488,"Banana","Island"
"19",19,-5.87532698273488,"Banana","Island"
"20",20,-6.16453518795572,"Banana","Island"
"21",21,-6.39100629704887,"Banana","Island"
"22",22,-6.1038071328651,"Banana","Island"
"23",23,-6.45243456685488,"Banana","Island"
"24",24,-7.37532698273488,"Banana","Island"
"25",25,-7.66453518795572,"Banana","Island"
