"","x","y","title","region"
"1",1,0.335577203797269,"Cucumber","SE"
"2",2,1.99326157030124,"Cucumber","SE"
"3",3,3.17426516237671,"Cucumber","SE"
"4",4,4.2576579210032,"Cucumber","SE"
"5",5,5.33569550992504,"Cucumber","SE"
"6",6,5.74683176626519,"Cucumber","SE"
"7",7,6.73291814233689,"Cucumber","SE"
"8",8,7.75003994678997,"Cucumber","SE"
"9",9,9.17338893130088,"Cucumber","SE"
"10",10,10.1687899887569,"Cucumber","SE"
"11",11,10.3355772037973,"Cucumber","SE"
"12",12,11.9932615703012,"Cucumber","SE"
"13",13,13.1742651623767,"Cucumber","SE"
"14",14,14.2576579210032,"Cucumber","SE"
"15",15,15.335695509925,"Cucumber","SE"
"16",16,15.7468317662652,"Cucumber","SE"
"17",17,16.7329181423369,"Cucumber","SE"
"18",18,17.75003994679,"Cucumber","SE"
"19",19,19.1733889313009,"Cucumber","SE"
"20",20,20.1687899887569,"Cucumber","SE"
"21",21,20.3355772037973,"Cucumber","SE"
"22",22,21.9932615703012,"Cucumber","SE"
"23",23,23.1742651623767,"Cucumber","SE"
"24",24,24.2576579210032,"Cucumber","SE"
"25",25,25.335695509925,"Cucumber","SE"
"26",26,25.7468317662652,"Cucumber","SE"
"27",27,26.7329181423369,"Cucumber","SE"
"28",28,27.75003994679,"Cucumber","SE"
"29",29,29.1733889313009,"Cucumber","SE"
"30",30,30.1687899887569,"Cucumber","SE"
