,x,region,y,title
1,1985,Gulf of Mexico,25.6444524,SST
2,1986,Gulf of Mexico,25.68853222,SST
3,1987,Gulf of Mexico,25.30964629,SST
4,1988,Gulf of Mexico,25.18152001,SST
5,1989,Gulf of Mexico,25.84037933,SST
6,1990,Gulf of Mexico,25.84588575,SST
7,1991,Gulf of Mexico,25.92398498,SST
8,1992,Gulf of Mexico,25.41505404,SST
9,1993,Gulf of Mexico,25.51098981,SST
10,1994,Gulf of Mexico,25.77372461,SST
11,1995,Gulf of Mexico,25.86466595,SST
12,1996,Gulf of Mexico,25.46403217,SST
13,1997,Gulf of Mexico,25.78732694,SST
14,1998,Gulf of Mexico,25.82194186,SST
15,1999,Gulf of Mexico,25.97376159,SST
16,2000,Gulf of Mexico,25.95820932,SST
17,2001,Gulf of Mexico,25.75507469,SST
18,2002,Gulf of Mexico,26.04805687,SST
19,2003,Gulf of Mexico,25.92054027,SST
20,2004,Gulf of Mexico,25.95115614,SST
21,2005,Gulf of Mexico,25.95465458,SST
22,2006,Gulf of Mexico,26.13428459,SST
23,2007,Gulf of Mexico,26.06438048,SST
24,2008,Gulf of Mexico,25.91672838,SST
25,2009,Gulf of Mexico,26.14856719,SST
26,2010,Gulf of Mexico,25.5763569,SST
27,2011,Gulf of Mexico,25.88702074,SST
28,2012,Gulf of Mexico,26.2967485,SST
29,2013,Gulf of Mexico,26.04695141,SST
30,2014,Gulf of Mexico,25.98676036,SST
31,2015,Gulf of Mexico,26.56748065,SST
32,2016,Gulf of Mexico,26.60401196,SST
33,2017,Gulf of Mexico,26.43650563,SST
34,2018,Gulf of Mexico,26.39239999,SST
35,2019,Gulf of Mexico,26.4702536,SST
36,2020,Gulf of Mexico,26.54069198,SST
37,2021,Gulf of Mexico,26.35603239,SST
38,1985,Insular Hawaiian LME,24.14512791,SST
39,1986,Insular Hawaiian LME,24.34697402,SST
40,1987,Insular Hawaiian LME,24.20851001,SST
41,1988,Insular Hawaiian LME,24.8658501,SST
42,1989,Insular Hawaiian LME,24.64151144,SST
43,1990,Insular Hawaiian LME,24.38508454,SST
44,1991,Insular Hawaiian LME,24.4678353,SST
45,1992,Insular Hawaiian LME,24.17391649,SST
46,1993,Insular Hawaiian LME,24.28052403,SST
47,1994,Insular Hawaiian LME,24.38555297,SST
48,1995,Insular Hawaiian LME,24.47145959,SST
49,1996,Insular Hawaiian LME,24.58978779,SST
50,1997,Insular Hawaiian LME,24.33908646,SST
51,1998,Insular Hawaiian LME,24.22800934,SST
52,1999,Insular Hawaiian LME,24.63420171,SST
53,2000,Insular Hawaiian LME,24.87139694,SST
54,2001,Insular Hawaiian LME,24.81242207,SST
55,2002,Insular Hawaiian LME,24.68639303,SST
56,2003,Insular Hawaiian LME,24.68071205,SST
57,2004,Insular Hawaiian LME,24.79025605,SST
58,2005,Insular Hawaiian LME,24.74933243,SST
59,2006,Insular Hawaiian LME,24.85261508,SST
60,2007,Insular Hawaiian LME,24.88790535,SST
61,2008,Insular Hawaiian LME,24.92947765,SST
62,2009,Insular Hawaiian LME,24.740115,SST
63,2010,Insular Hawaiian LME,24.66583302,SST
64,2011,Insular Hawaiian LME,24.92119075,SST
65,2012,Insular Hawaiian LME,24.72240051,SST
66,2013,Insular Hawaiian LME,24.84723207,SST
67,2014,Insular Hawaiian LME,24.97944626,SST
68,2015,Insular Hawaiian LME,24.94087916,SST
69,2016,Insular Hawaiian LME,25.00397675,SST
70,2017,Insular Hawaiian LME,25.22475369,SST
71,2018,Insular Hawaiian LME,24.75403704,SST
72,2019,Insular Hawaiian LME,25.27465134,SST
73,2020,Insular Hawaiian LME,25.25334169,SST
74,2021,Insular Hawaiian LME,25.15517295,SST
75,1985,Gulf of Alaska,8.515761848,SST
76,1986,Gulf of Alaska,9.002719992,SST
