"","title","region","mn","mn5","status","trend","delta","Z","guage"
"5","Apple","PNW",1.60589138794358,2.74823359479228,"greater than","significantly",2.11945772269394,1.25138471847682,87
"51","Banana","Island",-3.79742203349189,-6.79742203349189,"less than","significantly",2.62705133687034,0.374684475916979,8
"52","Cucumber","SE",15.4668426142853,27.91439375509,"greater than","",3.90184353307333,-4.93307161286137,93
"53","Dog","NE",1.11497418695639,1.83954417920914,"greater than","significantly",0.919236247580656,0.249592762784296,80
"54","Elephant","Central",-12.3496618063148,-22.9726656515327,"less than","",3.93536139394313,-3.23511098000782,6
"1","SST","Gulf of Mexico",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
"2","SST","Insular Hawaiian LME",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
"3","SST","Gulf of Alaska",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
"4","SST","Northeast",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
"55","SST","Southeast",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
"6","SST","Caribbean",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
"7","SST","California Current",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
"8","SST","Eastern Bering Sea",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
"9","SST","National",18.3924083274054,18.8420643422889,"greater than","",-0.00109950625051169,-7.61803619108174,54
