Index,
MEI,
Date,Multivariate ENSO
Jan-79,0.47
Feb-79,0.27
Mar-79,-0.04
Apr-79,0.26
May-79,0.35
Jun-79,-0.14
Jul-79,-0.13
Aug-79,0.5
Sep-79,0.42
Oct-79,0.28
Nov-79,0.58
Dec-79,0.68
Jan-80,0.42
Feb-80,0.3
Mar-80,0.52
Apr-80,0.85
May-80,0.71
Jun-80,0.55
Jul-80,0.52
Aug-80,0.13
Sep-80,0.19
Oct-80,0.06
Nov-80,-0.09
Dec-80,-0.09
Jan-81,-0.28
Feb-81,-0.19
Mar-81,0.16
Apr-81,0.15
May-81,-0.38
Jun-81,-0.63
Jul-81,-0.51
Aug-81,-0.25
Sep-81,0.03
Oct-81,-0.05
Nov-81,-0.16
Dec-81,-0.18
Jan-82,-0.44
Feb-82,-0.61
Mar-82,-0.31
Apr-82,0.13
May-82,0.66
Jun-82,1.42
Jul-82,1.87
Aug-82,1.93
Sep-82,1.74
Oct-82,1.87
Nov-82,2.25
Dec-82,2.45
Jan-83,2.59
Feb-83,2.73
Mar-83,2.71
Apr-83,2.74
May-83,2.6
Jun-83,1.58
Jul-83,0.88
Aug-83,0.03
Sep-83,-0.41
Oct-83,-0.44
Nov-83,-0.42
Dec-83,-0.44
Jan-84,-0.38
Feb-84,-0.36
Mar-84,-0.06
Apr-84,-0.06
May-84,-0.78
Jun-84,-0.75
Jul-84,-0.23
Aug-84,-0.02
Sep-84,-0.06
Oct-84,-0.01
Nov-84,-0.59
Dec-84,-0.32
Jan-85,-0.31
Feb-85,-0.57
Mar-85,-0.51
Apr-85,-0.68
May-85,-1.04
Jun-85,-0.24
Jul-85,-0.02
Aug-85,-0.36
Sep-85,-0.35
Oct-85,0.05
Nov-85,0.11
Dec-85,-0.36
Jan-86,-0.42
Feb-86,-0.33
Mar-86,-0.37
Apr-86,-0.3
May-86,0.24
Jun-86,0.61
Jul-86,0.77
Aug-86,1.24
Sep-86,1.38
Oct-86,0.57
Nov-86,0.73
Dec-86,1.07
Jan-87,0.96
Feb-87,1.12
Mar-87,1.49
Apr-87,1.62
May-87,1.85
Jun-87,1.78
Jul-87,1.74
Aug-87,1.49
Sep-87,1.18
Oct-87,1.05
Nov-87,0.89
Dec-87,0.86
Jan-88,0.64
Feb-88,0.39
Mar-88,0.27
Apr-88,-0.13
