Marine Species Distribution,,,,,,,,
Change in Depth,,,,,,,,
Year,Alaska - Gulf of Alaska,Alaska - Eastern Bering Sea,Alaska - Aleutian Islands,Gulf of Mexico,Northeast,Southeast,California Current,Main Hawaiian Islands
1970,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,0,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,-4.557521372,NA,NA,NA
1977,NA,NA,NA,NA,-5.823600903,NA,NA,NA
1978,NA,NA,NA,NA,-5.279913677,NA,NA,NA
1979,NA,NA,NA,NA,-5.071072257,NA,NA,NA
1980,NA,NA,NA,NA,-6.118057279,NA,NA,NA
1981,NA,NA,NA,NA,-6.818794684,NA,NA,NA
1982,NA,NA,NA,NA,-5.910592959,NA,NA,NA
1983,NA,NA,NA,NA,-4.758598244,NA,NA,NA
1984,NA,NA,NA,NA,-4.207012334,NA,NA,NA
1985,NA,0,NA,NA,-5.948940205,NA,NA,NA
1986,NA,NA,NA,NA,-8.36043299,NA,NA,NA
1987,NA,1.267464177,NA,NA,-10.31175802,NA,NA,NA
1988,NA,0.601225007,NA,NA,-11.44288591,NA,NA,NA
1989,NA,0.232652834,NA,NA,-12.09556245,0,NA,NA
1990,NA,-0.324859066,NA,NA,-12.41276104,-0.101236936,NA,NA
1991,NA,-0.230901311,0,NA,-13.14511697,-0.029975647,NA,NA
1992,NA,0.113427758,NA,NA,-16.09440374,-0.060659442,NA,NA
1993,0,0.756332458,NA,NA,-17.9272005,-0.112345896,NA,NA
1994,NA,1.073382267,-9.852,NA,-20.00908401,-0.045451132,NA,NA
1995,NA,0.845271537,NA,NA,-18.69406716,-0.001865637,NA,NA
1996,1.484077768,1.147191747,NA,NA,-18.25861088,0.041644818,NA,NA
1997,NA,1.471268198,-6.383,NA,-15.74958823,0.174212459,NA,NA
1998,NA,1.62800738,NA,NA,-13.61327392,0.227198899,NA,NA
1999,8.060870167,1.355887762,NA,NA,-11.43956036,0.204490417,NA,NA
2000,NA,1.382357164,-18.316,NA,-11.72734212,0.252057128,NA,NA
2001,NA,1.462204348,NA,NA,-13.20216062,0.304206521,NA,NA
2002,NA,1.981129332,-14.542,NA,-15.56620586,0.354926126,NA,NA
2003,10.10595671,2.151576563,NA,NA,-18.10353683,0.24320283,0,NA
2004,NA,2.144736078,-9.055,NA,-19.45155191,-0.082014695,5.268831637,NA
2005,7.094131791,2.014514476,NA,NA,-19.87474679,-0.042083975,10.85983619,NA
2006,NA,1.820304821,-6.421,NA,-19.60969288,0.009568065,12.85042639,NA
2007,8.214940592,2.014564699,NA,NA,-21.02303559,0.121807199,14.79389225,NA
2008,NA,2.048197696,NA,0,-21.87425463,-0.056974588,13.96107923,NA
2009,11.54709137,2.175417779,NA,0.41151951,-22.22446198,0.050429695,13.82447324,NA
2010,NA,2.08735393,-15.776,0.612260265,-20.38142614,-0.037085158,11.06097415,NA
2011,11.62346424,2.023070777,NA,0.841196074,-18.91718385,-0.101647546,9.848316333,NA
2012,NA,2.165976199,-14.882,1.37850973,-16.91683578,-0.260831194,7.102989081,NA
2013,9.225118644,2.747637292,NA,1.654673527,-17.15655639,-0.300982206,6.110952104,NA
2014,NA,3.20867283,-14.884,1.809369435,NA,-0.262629993,6.047223857,NA
2015,5.931714143,3.604524843,NA,2.044856751,-19.56786777,-0.07590671,8.116983349,NA
2016,NA,3.815926178,-14.085,1.878515729,-18.44446583,0.026848361,9.931530297,0
2017,4.856692043,3.778477995,NA,1.256209329,-19.38860248,0.136390536,10.3405077,-0.884680671
2018,NA,3.782165179,-8.641,0.985962653,-19.01439297,0.186225551,9.346755817,1.007337356
2019,9.785401073,3.457222579,NA,0.641518076,-20.52380774,0.393396618,8.336937652,5.832530429
2020,NA,NA,NA,NA,NA,NA,NA,7.5418397
2021,7.52611414,2.251333781,NA,0.040286546,-22.56085236,NA,0.64514586,7.895544763
2022,NA,1.569629614,-17.377,NA,-23.2058841,NA,4.60090463,9.316639529
