Nino Index,
deg C anomaly ,
Date,Oceanic
Jan-50,-1.38
Feb-50,-1.53
Mar-50,-1.8
Apr-50,-1.73
May-50,-1.18
Jun-50,-0.84
Jul-50,-1.26
Aug-50,-1.25
Sep-50,-1.49
Oct-50,-1.63
Nov-50,-1.7
Dec-50,-1.4
Jan-51,-1.1
Feb-51,-1.11
Mar-51,-0.58
Apr-51,-0.42
May-51,0.26
Jun-51,0.08
Jul-51,0.23
Aug-51,-0.26
Sep-51,-0.12
Oct-51,-0.22
Nov-51,-0.04
Dec-51,0.04
Jan-52,-0.04
Feb-52,-0.16
Mar-52,-0.34
Apr-52,-0.16
May-52,-0.25
Jun-52,-0.47
Jul-52,-0.77
Aug-52,-0.79
Sep-52,-0.37
Oct-52,-0.7
Nov-52,-0.54
Dec-52,-0.69
Jan-53,-0.34
Feb-53,-0.22
Mar-53,-0.29
Apr-53,-0.14
May-53,0.01
Jun-53,0.18
Jul-53,-0.05
Aug-53,-0.22
Sep-53,-0.46
Oct-53,-0.1
Nov-53,-0.11
Dec-53,0.03
Jan-54,0.04
Feb-54,-0.02
Mar-54,-0.35
Apr-54,-0.71
May-54,-0.71
Jun-54,-0.8
Jul-54,-1.08
Aug-54,-1.16
Sep-54,-1.27
Oct-54,-1.48
Nov-54,-1.16
Dec-54,-1.24
Jan-55,-0.91
Feb-55,-1.09
Mar-55,-1.23
Apr-55,-1.06
May-55,-1.1
Jun-55,-0.96
Jul-55,-0.86
Aug-55,-1.25
Sep-55,-1.35
Oct-55,-2
Nov-55,-2
Dec-55,-1.45
Jan-56,-1.28
Feb-56,-1.19
Mar-56,-1.1
Apr-56,-1.1
May-56,-0.91
Jun-56,-0.79
Jul-56,-1.04
Aug-56,-1.46
Sep-56,-1.42
Oct-56,-1.12
Nov-56,-0.81
Dec-56,-0.65
Jan-57,-0.61
Feb-57,-0.47
Mar-57,-0.45
Apr-57,-0.06
May-57,0.01
Jun-57,-0.38
Jul-57,-0.55
Aug-57,-0.04
Sep-57,-0.11
Oct-57,0.02
Nov-57,0.07
Dec-57,0.34
Jan-58,0.73
Feb-58,0.93
Mar-58,0.67
Apr-58,0.27
May-58,0.07
Jun-58,0.02
Jul-58,-0.06
Aug-58,-0.14
Sep-58,-0.15
Oct-58,0.01
Nov-58,-0.02
Dec-58,0.11
Jan-59,0.05
Feb-59,-0.21
Mar-59,-0.32
Apr-59,-0.18
May-59,-0.26
Jun-59,-0.45
Jul-59,-0.63
Aug-59,-0.54
Sep-59,-0.56
Oct-59,-0.44
Nov-59,-0.66
Dec-59,-0.51
Jan-60,-0.7
Feb-60,-0.75
Mar-60,-0.57
Apr-60,-0.62
May-60,-0.5
Jun-60,-0.64
Jul-60,-0.75
Aug-60,-0.72
Sep-60,-0.71
Oct-60,-0.6
Nov-60,-0.38
Dec-60,-0.13
Jan-61,-0.35
Feb-61,-0.41
Mar-61,-0.53
Apr-61,-0.72
May-61,-0.64
Jun-61,-0.51
Jul-61,-0.71
Aug-61,-0.87
Sep-61,-0.7
Oct-61,-0.93
Nov-61,-0.61
Dec-61,-0.54
Jan-62,-0.66
Feb-62,-0.66
Mar-62,-0.56
Apr-62,-0.59
May-62,-0.8
Jun-62,-0.59
Jul-62,-0.77
Aug-62,-0.81
Sep-62,-0.85
Oct-62,-0.82
Nov-62,-0.8
Dec-62,-0.8
Jan-63,-0.86
Feb-63,-0.72
Mar-63,-0.35
Apr-63,-0.34
May-63,-0.51
Jun-63,-0.65
Jul-63,-0.28
Aug-63,0
Sep-63,0.24
Oct-63,0.23
Nov-63,0.01
Dec-63,0
Jan-64,0.09
Feb-64,-0.15
Mar-64,-0.64
Apr-64,-0.61
May-64,-0.71
Jun-64,-1.03
Jul-64,-1.11
Aug-64,-1.37
Sep-64,-1.71
Oct-64,-1.62
Nov-64,-1.74
Dec-64,-1.6
Jan-65,-1.09
Feb-65,-0.76
Mar-65,-0.75
Apr-65,-0.92
May-65,-0.41
Jun-65,-0.09
Jul-65,0.01
Aug-65,0.12
Sep-65,0.12
Oct-65,0.51
Nov-65,0.41
Dec-65,0.33
Jan-66,0.38
Feb-66,0.44
Mar-66,0.76
Apr-66,0.17
May-66,-0.06
Jun-66,-0.04
Jul-66,0.08
