Ocean Acidification,,,,,,,,,,,,,,,,,,,,,,,,
Omega Aragonite,,,,,,,,,,,,,,,,,,,,,,,,
Year,Aleutian Islands,Beaufort Sea,California Current,Caribbean,Eastern Bering Sea,Gulf of Alaska,Gulf of Mexico,Northern Bering-Chukchi Sea,Northeast,Pacific Islands,Southeast,,,,,,,,,,,,,
1998,1.6275,1.4475,2.354166667,3.888333333,1.600833333,1.8725,3.738333333,1.408333333,2.549166667,3.736666667,3.741666667,,,,,,,,,,,,,
1999,1.594166667,1.351666667,2.243333333,3.845833333,1.5825,1.794166667,3.754166667,1.469166667,2.726666667,3.73,3.750833333,,,,,,,,,,,,,
2000,1.621666667,1.345,2.295,3.820833333,1.599166667,1.809166667,3.759166667,1.459166667,2.7225,3.734166667,3.7575,,,,,,,,,,,,,
2001,1.630833333,1.288333333,2.275833333,3.8525,1.6175,1.805833333,3.731666667,1.5275,2.696666667,3.756666667,3.723333333,,,,,,,,,,,,,
2002,1.623333333,1.305833333,2.255833333,3.8925,1.645,1.825833333,3.741666667,1.495833333,2.750833333,3.774166667,3.763333333,,,,,,,,,,,,,
2003,1.663333333,1.3075,2.309166667,3.875833333,1.675,1.869166667,3.715833333,1.55,2.625,3.750833333,3.750833333,,,,,,,,,,,,,
2004,1.615833333,1.3325,2.290833333,3.860833333,1.650833333,1.855,3.734166667,1.554166667,2.6125,3.741666667,3.749166667,,,,,,,,,,,,,
2005,1.645,1.425,2.288333333,3.890833333,1.648333333,1.874166667,3.7375,1.505,2.585833333,3.7225,3.725,,,,,,,,,,,,,
2006,1.6375,1.349166667,2.266666667,3.885833333,1.599166667,1.805,3.764166667,1.455833333,2.649166667,3.706666667,3.730833333,,,,,,,,,,,,,
2007,1.620833333,1.400833333,2.240833333,3.8725,1.584166667,1.776666667,3.7425,1.53,2.611666667,3.698333333,3.761666667,,,,,,,,,,,,,
2008,1.636666667,1.348333333,2.189166667,3.8175,1.593333333,1.7475,3.715833333,1.44,2.653333333,3.6775,3.718333333,,,,,,,,,,,,,
2009,1.605833333,1.395833333,2.221666667,3.843333333,1.578333333,1.748333333,3.728333333,1.4325,2.663333333,3.719166667,3.704166667,,,,,,,,,,,,,
2010,1.603333333,1.333333333,2.220833333,3.809166667,1.5875,1.77,3.684166667,1.488333333,2.620833333,3.693333333,3.701666667,,,,,,,,,,,,,
2011,1.634166667,1.3575,2.178333333,3.7775,1.594166667,1.755833333,3.739166667,1.466666667,2.641666667,3.668333333,3.684166667,,,,,,,,,,,,,
2012,1.6,1.378333333,2.185,3.790833333,1.545,1.71,3.734166667,1.475,2.775833333,3.663333333,3.686666667,,,,,,,,,,,,,
2013,1.620833333,1.384166667,2.180833333,3.829166667,1.599166667,1.758333333,3.72,1.511666667,2.691666667,3.67,3.6825,,,,,,,,,,,,,
2014,1.66,1.4075,2.2825,3.8325,1.659166667,1.825833333,3.7075,1.5,2.7575,3.678333333,3.693333333,,,,,,,,,,,,,
2015,1.614166667,1.356666667,2.305833333,3.874166667,1.650833333,1.8125,3.776666667,1.509166667,2.803333333,3.6675,3.69,,,,,,,,,,,,,
2016,1.603333333,1.320833333,2.241666667,3.905833333,1.69,1.85,3.76,1.496666667,2.749166667,3.626666667,3.651666667,,,,,,,,,,,,,
2017,1.593333333,1.308333333,2.22,3.834166667,1.640833333,1.768333333,3.744166667,1.531666667,2.636666667,3.620833333,3.6575,,,,,,,,,,,,,
2018,1.590833333,1.335833333,2.2375,3.808333333,1.633333333,1.774166667,3.7375,1.498333333,2.630833333,3.593333333,3.605833333,,,,,,,,,,,,,
2019,1.5925,1.3525,2.223333333,3.7825,1.668333333,1.805,3.6625,1.530833333,2.635833333,3.6275,3.626666667,,,,,,,,,,,,,
2020,1.565833333,1.380833333,2.193333333,3.801666667,1.6125,1.746666667,3.621666667,1.5125,2.633333333,3.605833333,3.6125,,,,,,,,,,,,,
2021,1.565833333,1.3425,2.115,3.765833333,1.595833333,1.706666667,3.5775,1.448333333,2.6525,3.608333333,3.570833333,,,,,,,,,,,,,
