Ocean Acidification,,,,,,,,,,,
uatm,,,,,,,,,,,
Month,California Current,Gulf of Alaska,Aleutian Islands,Eastern Bering Sea,Beaufort Sea,Northern Bering & Chukchi Seas,Northeast,Southeast,Gulf of Mexico,Caribbean,Pacific Islands
1/1/1998,351.985039,382.0843738,411.2219628,417.4285059,274.0970764,364.9137757,360.6278245,339.743752,358.4206185,364.0403643,347.1349167
2/1/1998,343.5416085,381.3232488,418.5140533,410.8254123,272.0863719,355.9257238,357.6061545,336.2511557,355.7375823,353.9055071,342.3672282
3/1/1998,342.7019667,392.2476383,421.2759109,429.5407187,275.8969314,359.0523394,342.6271261,337.004739,354.8367441,351.7314387,342.2859979
4/1/1998,338.3911591,385.4944368,423.6555874,422.2097826,277.4541915,309.0999661,330.8600934,337.950354,349.9333234,351.7936472,346.6259638
5/1/1998,343.8242915,354.8817078,413.6427545,403.0242198,253.9465232,317.8180587,318.8027445,352.4538938,366.1992944,366.8070431,348.981806
6/1/1998,345.1719854,295.912272,385.8510699,336.0326299,258.8785623,303.3880523,328.1587325,372.6225436,379.06004,372.2908156,353.764774
7/1/1998,349.5690834,285.5396539,358.4166267,305.0093893,258.0961371,299.8324757,353.6960312,386.3586695,382.241513,377.2921997,363.6076758
8/1/1998,355.6949527,290.5239216,350.7685388,312.7011735,297.3801706,309.0565809,373.9032881,391.6345044,395.8709947,381.3130218,369.1139711
9/1/1998,364.2860095,300.6190551,353.6151345,329.7878742,293.0069398,305.3309313,382.0721461,392.6793123,396.0376439,381.6221538,369.3206549
10/1/1998,359.9445667,315.6432393,359.8600016,335.3673581,288.0499921,322.0235466,373.5524091,384.5712144,386.9752763,381.0426707,367.8227498
11/1/1998,355.8729123,345.3694185,373.2819607,378.4042037,266.4394601,365.3502648,365.9015258,378.1853367,377.6361661,379.6553752,364.418103
12/1/1998,352.9352767,372.0079819,399.5356104,412.0350422,280.5203829,388.1193985,363.393957,352.6784869,372.2909364,371.5012681,360.230159
1/1/1999,355.7107191,386.0423871,415.1340043,415.5350983,275.639834,366.8163145,357.4712307,345.5243858,361.9314046,362.2822797,358.0711972
2/1/1999,351.1619276,392.7020617,421.4804809,412.9555491,284.6965577,363.6313371,355.3217656,341.4394155,361.6310888,353.1698209,354.5620881
3/1/1999,352.407171,402.8140972,425.5429129,426.1723867,279.2975401,362.2475037,347.4904704,337.9689648,353.309096,349.8971502,354.5001659
4/1/1999,349.9376014,394.1532897,422.2540998,420.231374,263.276192,310.8448705,330.5186904,341.0971428,360.3364299,353.2354942,356.233754
5/1/1999,354.1618258,373.9809239,412.3791037,402.3472586,260.3698973,306.6856419,320.1809801,350.7962656,367.5444963,366.7003877,359.2505751
6/1/1999,354.7404428,310.7915365,387.3230714,330.2613014,255.6306069,290.2957395,335.5382037,362.9983871,379.5364054,369.9079225,359.9580998
7/1/1999,352.4319649,299.9198965,360.6133717,304.5981177,261.0497641,281.7480136,355.1468061,381.6584142,382.6941168,375.063457,369.3738611
8/1/1999,354.2860554,296.1064032,358.6424674,319.8122532,275.8824156,298.369264,379.0309347,394.2535161,396.2035278,380.6602807,371.9190747
9/1/1999,361.8950259,307.9014749,356.272921,328.0707636,286.3655648,300.1187924,381.0185751,392.4907404,398.2695041,383.3509749,371.9787731
10/1/1999,358.202155,323.7037343,359.8555003,332.7046418,295.2230002,314.6786273,372.6330229,386.4393626,387.7649779,381.225617,368.675807
11/1/1999,356.1675571,352.3367983,382.8264881,377.0652002,273.6965776,368.6824081,367.7780568,376.4611853,375.2166802,378.7295193,367.3323898
12/1/1999,354.6460279,377.2148797,406.7789321,412.170096,275.2496568,383.8240237,360.807534,348.0459526,371.0429512,364.9031765,362.6383582
1/1/2000,354.8360135,393.8304257,420.9089007,420.0067459,277.9431259,363.6533693,359.454454,341.3486852,365.8620778,358.2214716,358.9624272
2/1/2000,350.9718829,400.4437398,430.6619827,433.5792937,276.3377125,361.7486858,352.3576356,339.7151943,368.1296163,351.744092,356.4252692
3/1/2000,348.2496688,412.916359,424.8493841,428.5586703,270.978729,358.3065837,345.3041209,338.4327448,360.6109561,349.1786395,355.5929377
4/1/2000,345.893893,405.0969984,426.4295501,436.8413569,262.4352016,314.1119169,335.409269,339.2111192,362.0245965,347.2779636,357.2311823
5/1/2000,352.0284819,363.2466778,409.9284713,398.9837041,265.1255027,309.7188079,326.1026147,351.5295109,369.9151743,363.0457391,362.088985
6/1/2000,353.9497577,302.606145,380.8535545,327.2573085,254.0604827,288.2357174,331.553817,365.8467429,379.7658696,368.6218077,363.6095826
7/1/2000,353.2904554,306.0912062,357.7481512,322.9933625,269.8020297,286.0268241,352.7921368,385.8091028,388.055277,376.590169,371.486072
8/1/2000,360.2346563,309.5239217,349.986242,318.7809245,272.5256567,286.6057867,374.1703762,387.7310721,394.1446477,378.9498168,374.0563641
9/1/2000,361.0766428,315.9679357,357.6205418,329.3677272,285.5690531,297.255182,376.5470149,391.6863766,398.3215592,380.6366032,371.3273569
10/1/2000,360.9409032,327.7015108,362.3801798,346.8997822,299.4818275,317.7568317,372.3306542,385.0320164,385.3816295,380.8086756,370.6022438
11/1/2000,358.6667159,351.350031,376.5246345,380.836252,263.4010019,363.622544,368.6345611,374.5439378,380.5813906,378.6124976,368.0025828
12/1/2000,356.4331277,373.2024724,408.3322068,416.1853788,273.2442921,376.2755459,361.1672408,348.0264003,375.2980653,370.9001034,362.0783133
1/1/2001,355.7024908,391.7228654,423.8780062,419.7493993,278.9646596,362.4113499,359.0160915,338.3220654,363.6034522,362.3482361,359.614049
2/1/2001,350.5019118,398.7375481,423.7762911,423.4443108,271.2889267,361.3572638,352.5468518,340.4765864,363.2436341,354.5321541,359.8192533
3/1/2001,350.3700932,401.0306533,426.6396365,446.8750921,289.0151367,362.1246384,346.1221842,334.950669,351.8419516,351.4911678,356.0875766
4/1/2001,349.0313462,395.7408056,426.6378539,437.263347,259.2623804,309.3400242,333.0290398,340.4655414,363.9316411,352.2885525,357.5808006
5/1/2001,355.8757172,372.4858186,412.332695,417.1139071,260.8271118,308.656142,324.8061221,349.6507853,367.6254703,363.1099415,362.1112728
6/1/2001,353.2334754,333.5588542,375.2127007,327.6377593,261.4333636,278.7400421,331.9846162,367.2909321,376.40099,371.7461501,364.8099651
7/1/2001,355.8042377,314.4712255,360.9253247,320.9409492,263.2690975,274.5477211,351.3312891,380.6223052,383.8673223,376.3825669,369.8569259
8/1/2001,356.5539155,308.5158084,352.0507692,314.8119455,285.6150327,287.3083697,376.8131844,387.26671,392.2146083,379.7373404,371.31467
9/1/2001,362.9733312,319.3873919,353.32476,334.7175411,296.7614121,295.2100039,378.2832435,389.4587715,396.001613,380.3106084,369.9301886
