Ocean Acidification,,,,,,,,,,,
pH,,,,,,,,,,,
Month,California Current,Gulf of Alaska,Aleutian Islands,Eastern Bering Sea,Beaufort Sea,Northern Bering & Chukchi Seas,Northeast,Southeast,Gulf of Mexico,Caribbean,Pacific Islands
1/1/1998,8.084381286,8.043603998,8.017579051,8.009718831,8.166392938,8.052920196,8.077646883,8.110974765,8.094155,8.075726651,8.090988822
2/1/1998,8.092923363,8.044480243,8.009880026,8.016096485,8.170209109,8.067994444,8.077993125,8.115245661,8.097918396,8.087662193,8.096212088
3/1/1998,8.093122317,8.033591399,8.00816069,7.999772458,8.167943551,8.065100724,8.092809449,8.114671359,8.099077462,8.090905049,8.09645933
4/1/1998,8.097576938,8.040138173,8.006010014,8.006522587,8.166914849,8.122659553,8.106117727,8.112538904,8.104707315,8.090774689,8.092587027
5/1/1998,8.091812118,8.073311026,8.016498982,8.023111105,8.19868986,8.103870377,8.120146211,8.095882084,8.08699231,8.074667812,8.090033036
6/1/1998,8.090081952,8.143693492,8.045378734,8.1026493,8.167322518,8.121176349,8.109962255,8.07236586,8.071642059,8.067750257,8.084454254
7/1/1998,8.08558274,8.156396385,8.075297366,8.134333413,8.165866467,8.133729982,8.081328412,8.057885073,8.067393378,8.061183731,8.074787892
8/1/1998,8.079475137,8.15035391,8.083957883,8.126389212,8.134244114,8.125040869,8.062158079,8.052477893,8.053711297,8.054481021,8.068877372
9/1/1998,8.071524905,8.137309042,8.080454481,8.10398416,8.137845472,8.12841038,8.055818104,8.052934401,8.054509566,8.052987781,8.068365932
10/1/1998,8.075443522,8.118383404,8.072721668,8.096458773,8.14166765,8.104705168,8.06562566,8.061630789,8.063302617,8.053235034,8.070213464
11/1/1998,8.079636436,8.083928547,8.057437899,8.047866105,8.166911063,8.052278641,8.073900236,8.070012647,8.073552412,8.054841826,8.073820137
12/1/1998,8.082315005,8.054649373,8.029756018,8.014353395,8.152033917,8.022351554,8.076210187,8.095743819,8.079623167,8.064672085,8.078926564
1/1/1999,8.078766222,8.039824528,8.013344529,8.011678275,8.162958514,8.044725401,8.082280548,8.104178924,8.090714117,8.07512711,8.082640014
2/1/1999,8.083152613,8.032384172,8.006870758,8.014445258,8.152748035,8.05103391,8.084478701,8.109257694,8.091585181,8.087325732,8.086404456
3/1/1999,8.081620731,8.022599547,8.003189017,8.002136112,8.160265767,8.055176321,8.092764011,8.113269373,8.1001754,8.091400202,8.086151202
4/1/1999,8.084288263,8.031254105,8.006814035,8.00808677,8.184191116,8.118804496,8.111190693,8.109002467,8.093065554,8.087909445,8.084413565
5/1/1999,8.080798392,8.053083661,8.017031343,8.023647568,8.187050838,8.118164486,8.1235009,8.097625009,8.0849202,8.073730488,8.080463175
6/1/1999,8.081390717,8.127810061,8.043550594,8.109998238,8.179492026,8.138287769,8.10634503,8.083240064,8.071548259,8.069824905,8.079055784
7/1/1999,8.083797723,8.140402259,8.072442008,8.134355008,8.162645046,8.160310564,8.083887921,8.062765204,8.068123816,8.063764905,8.069507643
8/1/1999,8.081820837,8.144272337,8.075389046,8.11691565,8.154671431,8.140846209,8.060542603,8.050499387,8.054985384,8.05479428,8.066829483
9/1/1999,8.074407527,8.129330735,8.078130348,8.106944863,8.136337038,8.139495518,8.061589407,8.054225992,8.052891495,8.051339289,8.066377779
10/1/1999,8.078008864,8.110119007,8.073355071,8.100324591,8.117544511,8.114119299,8.071078777,8.060698625,8.063080091,8.053818314,8.069788327
11/1/1999,8.079978401,8.076242011,8.048153417,8.048831036,8.161155504,8.046759497,8.076843649,8.072307732,8.076157859,8.057098968,8.071852179
12/1/1999,8.081008532,8.048745366,8.02279902,8.014267222,8.16374202,8.030736895,8.08338163,8.101895492,8.081267523,8.072767731,8.077461139
1/1/2000,8.080122127,8.031698636,8.008085311,8.006844354,8.162694417,8.051661841,8.084365053,8.109716408,8.086802958,8.081706582,8.082257833
2/1/2000,8.083879075,8.025346636,7.998216782,7.99495212,8.167644946,8.05593853,8.090818454,8.112133268,8.085255524,8.089647434,8.084874922
3/1/2000,8.086539444,8.013933709,8.004150478,8.000377809,8.17606839,8.063955081,8.098294956,8.112528138,8.093175775,8.093710556,8.085317371
4/1/2000,8.089256425,8.021641057,8.003012143,7.993048015,8.189020422,8.117363634,8.108732499,8.111244383,8.091602861,8.095894473,8.083785719
5/1/2000,8.083299959,8.066216721,8.019554932,8.028653344,8.184480623,8.116651913,8.117969986,8.096555418,8.08235826,8.078689134,8.07788301
6/1/2000,8.081996946,8.141257255,8.050297052,8.114722226,8.184656379,8.142703776,8.111612374,8.079670922,8.070903084,8.07010565,8.075448246
7/1/2000,8.082431408,8.134029418,8.076258971,8.114745507,8.148802319,8.154959504,8.087624919,8.059669696,8.062456546,8.060004036,8.067403387
8/1/2000,8.075660595,8.129623297,8.086434613,8.119977018,8.149891802,8.157418721,8.065998322,8.056877303,8.056078679,8.056065155,8.064310135
9/1/2000,8.075193705,8.120510285,8.077989241,8.106256573,8.13357494,8.140618562,8.065403036,8.054339852,8.052310566,8.052500412,8.066346449
10/1/2000,8.075030161,8.105767179,8.071571832,8.085349065,8.11842157,8.110434272,8.071239068,8.06291366,8.064479246,8.051775034,8.067768185
11/1/2000,8.07748675,8.077418137,8.055085864,8.047483571,8.174979068,8.055128284,8.074843667,8.075029908,8.070614012,8.056282274,8.070762623
12/1/2000,8.079327651,8.053452611,8.022670471,8.013069936,8.16408668,8.038075754,8.0813055,8.101871002,8.077070697,8.065811235,8.077591988
1/1/2024,8.079608797,8.034596516,8.005895451,8.009930925,8.158730748,8.051875774,8.081822518,8.113821845,8.089238466,8.075829642,8.081302913
2/1/2024,8.084612489,8.027595365,8.006071124,8.006666822,8.172344636,8.05407429,8.08743008,8.111515407,8.089809975,8.085631788,8.082052234
3/1/2024,8.084481457,8.024951812,8.003466784,7.985148821,8.149755799,8.057600419,8.094121155,8.116918654,8.10187902,8.089736735,8.085117926
4/1/2024,8.086354242,8.030333323,8.004004294,7.994498127,8.192740764,8.121139787,8.107602981,8.110112294,8.089450643,8.08915962,8.083252001
5/1/2024,8.079906182,8.055709883,8.018721628,8.012716564,8.187771329,8.118197485,8.116844352,8.099219153,8.085073986,8.07789814,8.077481388
