Ocean Acidification (pCO2),,,,,,,,,,,
uatm,,,,,,,,,,,
Year,Aleutian Islands,Beaufort Sea,California Current,Caribbean,Eastern Bering Sea,Gulf of Alaska,Gulf of Mexico,Northern Bering-Chukchi Sea,Northeast,Pacific Islands,Southeast
1998,388,287.6666667,350.5,369.9166667,368.3333333,340.3333333,373.4166667,325.1666667,352.5,356.3333333,364.3333333
1999,389.8333333,287,354.8333333,368.6666667,370.25,348.6666667,375.75,314.75,353.5,362.25,363.6666667
2000,390.5,285.6666667,354.25,365.8333333,371.5833333,353.25,377,320.5833333,352.3333333,363.75,363.0833333
2001,388.3333333,294.8333333,355.0833333,368.3333333,372.5833333,355.4166667,375.3333333,311.25,352.0833333,363.5,362.25
2002,390.9166667,294.5833333,355.5833333,366.4166667,372.8333333,353.1666667,376.6666667,317.0833333,352.6666667,360.5833333,362.9166667
2003,388.0833333,304.25,353.1666667,369.3333333,372.6666667,346.9166667,374.1666667,309,355.3333333,361.5,363.4166667
2004,392.8333333,305.0833333,354.1666667,372.25,372.3333333,347.9166667,375.6666667,313.75,355.75,364,363.9166667
2005,388.1666667,286.8333333,356.0833333,375.8333333,372.4166667,348,375.4166667,317.75,360.6666667,367.4166667,366.25
2006,388.5,296.0833333,358.25,374.1666667,376,350.8333333,376.3333333,322.4166667,362.1666667,369.3333333,362.5
2007,390.3333333,304.5833333,362.5833333,375.25,375.5833333,356.3333333,377.0833333,322.25,364.5,372.5,365.5
2008,389.4166667,313.0833333,365.1666667,376.1666667,376.6666667,356.8333333,375.9166667,331,365.25,375.3333333,366.75
2009,391.6666667,302.5,362.5833333,375.6666667,377.0833333,360.5833333,378.5833333,335.1666667,365.6666667,374.9166667,369.5
2010,392.1666667,318.4166667,362.3333333,379.4166667,377.8333333,359.6666667,375.3333333,334.8333333,367.5833333,374.25,370.4166667
2011,389.9166667,317.75,371.6666667,377.8333333,377.8333333,361.5,375.5,338,370.9166667,376.8333333,372.5833333
2012,391.75,308.3333333,373.0833333,378.4166667,384.0833333,365.75,382.75,329.5833333,366.5,378.5833333,373.9166667
2013,396.4166667,300.6666667,374.9166667,380,381.25,367.75,377.6666667,332.8333333,366.4166667,382.9166667,374.6666667
2014,394.6666667,300.6666667,376.6666667,383.5833333,378.9166667,365.25,379.5,334.9166667,368.0833333,383.0833333,380
2015,402.0833333,301.75,379.5833333,385.6666667,378,365.3333333,384.1666667,335.5833333,371.4166667,380.8333333,385.75
2016,405.1666667,317.5,379,392.5,376.8333333,366.5,386.75,333.75,377.1666667,385.8333333,394.5
2017,409.1666667,315.4166667,381.4166667,392.25,378.6666667,371.25,387.75,333.0833333,376.6666667,390.0833333,394.75
2018,409.9166667,304.5833333,380.8333333,393.1666667,383.4166667,374.4166667,387.4166667,342.9166667,380.1666667,388.9166667,397.3333333
2019,412.9166667,320.0833333,383.9166667,396.4166667,381.75,373.9166667,400.0833333,342.9166667,382.4166667,390.5833333,398.75
2020,417.75,305.4166667,388.25,397.5833333,392.5833333,378.0833333,406.9166667,336.0833333,386.0833333,393,403
2021,421.5,308.3333333,398.25,396.1666667,393.9166667,382.9166667,410.75,336.25,385.9166667,393.25,402.3333333
