Index,
Index Value,
Date,Pacific Decadal Oscillation (PDO)
Jan-80,0.06
Feb-80,0.58
Mar-80,0.62
Apr-80,0.78
May-80,0.64
Jun-80,-0.72
Jul-80,-0.21
Aug-80,0.08
Sep-80,-0.13
Oct-80,0.99
Nov-80,0.71
Dec-80,0.3
Jan-81,1.18
Feb-81,1.24
Mar-81,1.22
Apr-81,1.07
May-81,1.29
Jun-81,1.82
Jul-81,0.82
Aug-81,-0.05
Sep-81,0.43
Oct-81,-0.09
Nov-81,0.54
Dec-81,0.59
Jan-82,0.11
Feb-82,-0.19
Mar-82,-0.37
Apr-82,-0.7
May-82,-1.21
Jun-82,-0.99
Jul-82,0.12
Aug-82,-0.08
Sep-82,0.51
Oct-82,0.15
Nov-82,-0.6
Dec-82,0.16
Jan-83,0.4
Feb-83,0.97
Mar-83,1.73
Apr-83,1.26
May-83,1.01
Jun-83,1.9
Jul-83,2.47
Aug-83,1.18
Sep-83,0.47
Oct-83,0.68
Nov-83,1.19
Dec-83,1.72
Jan-84,1.42
Feb-84,1.23
Mar-84,1.56
Apr-84,1
May-84,0.87
Jun-84,-0.13
Jul-84,-0.35
Aug-84,0.01
Sep-84,0.18
Oct-84,0.43
Nov-84,0.54
Dec-84,0.48
Jan-85,0.87
Feb-85,0.48
Mar-85,-0.34
Apr-85,-0.52
May-85,-0.87
Jun-85,0.04
Jul-85,0.52
Aug-85,0.19
Sep-85,0.13
Oct-85,0.14
Nov-85,-0.65
Dec-85,0.33
Jan-86,1.04
Feb-86,1.47
Mar-86,1.68
Apr-86,1.21
May-86,0.85
Jun-86,0.62
Jul-86,1.05
Aug-86,-0.19
Sep-86,-0.03
Oct-86,1
Nov-86,1.68
Dec-86,1.71
Jan-87,1.47
Feb-87,1.46
Mar-87,1.35
Apr-87,1.38
May-87,0.82
Jun-87,0.05
Jul-87,1.38
Aug-87,1.74
Sep-87,1.44
Oct-87,0.68
Nov-87,0.93
Dec-87,0.94
Jan-88,0.23
Feb-88,0.47
Mar-88,0.49
Apr-88,0.34
May-88,0.37
Jun-88,0.21
Jul-88,-0.15
Aug-88,-0.88
Sep-88,-0.98
Oct-88,-0.36
Nov-88,-0.06
Dec-88,-0.14
Jan-89,-1.24
Feb-89,-1.45
Mar-89,-1.24
Apr-89,-0.32
May-89,-0.09
Jun-89,0.11
Jul-89,0.56
Aug-89,-0.44
Sep-89,-0.57
Oct-89,-0.51
Nov-89,-0.76
Dec-89,-0.1
Jan-90,-0.42
Feb-90,-1.28
Mar-90,-1.24
Apr-90,-0.15
May-90,-0.32
Jun-90,-0.25
Jul-90,-0.31
Aug-90,-0.43
Sep-90,-0.26
Oct-90,-1.16
Nov-90,-1.88
Dec-90,-2.22
Jan-91,-1.8
Feb-91,-1.09
Mar-91,-1.11
Apr-91,-1.63
May-91,-1.65
Jun-91,-2.25
Jul-91,-1.57
Aug-91,-0.58
Sep-91,0.37
Oct-91,0.41
Nov-91,0.56
Dec-91,-0.21
Jan-92,0.08
Feb-92,0.17
Mar-92,0.12
Apr-92,0.55
May-92,1.26
Jun-92,1.22
Jul-92,1.5
Aug-92,0.85
Sep-92,0.45
Oct-92,1.28
Nov-92,1.31
Dec-92,0.33
Jan-93,-0.28
Feb-93,0.02
Mar-93,0.24
Apr-93,1
May-93,1.79
Jun-93,2.05
Jul-93,1.48
Aug-93,1.96
Sep-93,1.15
Oct-93,1.31
Nov-93,1.13
Dec-93,0.67
Jan-94,0.85
Feb-94,0.33
Mar-94,0.27
Apr-94,0.49
May-94,0.55
Jun-94,0.1
Jul-94,-0.91
Aug-94,-0.88
Sep-94,-1.51
Oct-94,-1.06
Nov-94,-1.93
Dec-94,-2.22
Jan-95,-0.86
Feb-95,0.02
Mar-95,0.46
Apr-95,0.49
May-95,0.89
Jun-95,1.03
Jul-95,1
Aug-95,-0.11
Sep-95,1.22
Oct-95,0.64
Nov-95,0.05
Dec-95,0.44
Jan-96,1.01
Feb-96,1.01
Mar-96,0.85
Apr-96,1.37
May-96,2.13
Jun-96,1.1
Jul-96,0.57
Aug-96,-0.66
Sep-96,0.07
Oct-96,0.4
Nov-96,0.38
Dec-96,-0.03
Jan-97,0.44
Feb-97,0.29
Mar-97,0.39
Apr-97,0.73
May-97,1.59
Jun-97,2.55
Jul-97,1.49
Aug-97,2.27
Sep-97,1.8
Oct-97,1.78
Nov-97,1.48
Dec-97,0.99
Jan-98,1.05
Feb-98,1.52
Mar-98,1.29
Apr-98,0.03
May-98,-0.83
Jun-98,-0.78
Jul-98,-1.16
Aug-98,-0.87
Sep-98,-1.7
Oct-98,-2.23
Nov-98,-0.97
Dec-98,-1.09
Jan-99,-0.78
Feb-99,-1.06
Mar-99,-1.18
Apr-99,-1.85
May-99,-2.32
Jun-99,-2.34
Jul-99,-1.87
Aug-99,-1.84
Sep-99,-2.24
Oct-99,-2.54
Nov-99,-2.18
Dec-99,-1.92
Jan-00,-2.2
Feb-00,-1.28
Mar-00,-0.66
Apr-00,-0.63
May-00,-0.81
Jun-00,-0.64
Jul-00,-1.51
Aug-00,-1.68
Sep-00,-1.45
Oct-00,-1.61
Nov-00,-1.04
Dec-00,0
Jan-01,0.48
Feb-01,-0.01
Mar-01,-0.41
Apr-01,-1.18
May-01,-1.12
Jun-01,-1.22
Jul-01,-2.21
Aug-01,-1.68
Sep-01,-1.98
Oct-01,-1.91
Nov-01,-1.25
Dec-01,-1.12
Jan-02,-0.42
Feb-02,-1.51
Mar-02,-1.27
Apr-02,-1.23
May-02,-1.3
Jun-02,-1.18
Jul-02,-0.71
Aug-02,0.11
Sep-02,-0.21
Oct-02,-0.2
Nov-02,1.08
Dec-02,1.57
Jan-03,1.45
Feb-03,1.23
Mar-03,1.01
Apr-03,0.36
May-03,0.21
Jun-03,-0.42
Jul-03,0.37
Aug-03,0.63
Sep-03,-0.17
Oct-03,0.74
Nov-03,-0.23
Dec-03,-0.6
Jan-04,-0.55
Feb-04,-0.21
Mar-04,-0.15
Apr-04,0
May-04,0.61
Jun-04,-0.11
Jul-04,0.04
Aug-04,0.24
Sep-04,0.02
Oct-04,-0.72
Nov-04,-1.22
Dec-04,-0.64
