Ocean Acidification (pH),,,,,,,,,,,
pH,,,,,,,,,,,
Year,Aleutian Islands,Beaufort Sea,California Current,Caribbean,Eastern Bering Sea,Gulf of Alaska,Gulf of Mexico,Northern Bering-Chukchi Sea,Northeast,Pacific Islands,Southeast
1998,8.043083333,8.143083333,8.085083333,8.06825,8.062166667,8.091416667,8.078166667,8.096916667,8.0845,8.082,8.08325
1999,8.040833333,8.138916667,8.080583333,8.069416667,8.0605,8.082416667,8.076083333,8.112916667,8.088166667,8.077166667,8.0845
2000,8.041166667,8.139583333,8.081083333,8.07225,8.06025,8.078416667,8.074333333,8.10475,8.089916667,8.07575,8.085583333
2001,8.043583333,8.1255,8.080666667,8.070333333,8.059916667,8.075416667,8.076166667,8.118333333,8.088666667,8.075666667,8.086416667
2002,8.041083333,8.127333333,8.079666667,8.073416667,8.060333333,8.07775,8.075083333,8.110333333,8.089666667,8.077916667,8.08525
2003,8.044,8.117833333,8.081166667,8.069583333,8.06075,8.084166667,8.077833333,8.122416667,8.085916667,8.0765,8.084416667
2004,8.038583333,8.118083333,8.079916667,8.06775,8.060666667,8.0825,8.076,8.11625,8.085083333,8.073583333,8.084833333
2005,8.042833333,8.144333333,8.078583333,8.064,8.060333333,8.082666667,8.076416667,8.108416667,8.07825,8.071083333,8.082833333
2006,8.042666667,8.1285,8.07625,8.065333333,8.055333333,8.079166667,8.07525,8.101583333,8.079166667,8.069,8.086166667
2007,8.04075,8.121833333,8.07225,8.063916667,8.055833333,8.073666667,8.074666667,8.104583333,8.076666667,8.066583333,8.082666667
2008,8.042,8.109666667,8.069333333,8.06375,8.0555,8.07275,8.076083333,8.095083333,8.075916667,8.064333333,8.081833333
2009,8.039666667,8.124916667,8.071833333,8.064333333,8.054583333,8.06925,8.073416667,8.089583333,8.075583333,8.065083333,8.07925
2010,8.039083333,8.104666667,8.072166667,8.05775,8.05425,8.07025,8.077333333,8.092666667,8.07275,8.065833333,8.079
2011,8.041583333,8.10625,8.063083333,8.060083333,8.054583333,8.06825,8.076333333,8.089166667,8.06975,8.063,8.076416667
2012,8.039833333,8.11725,8.062083333,8.059916667,8.047583333,8.063416667,8.069666667,8.09975,8.07625,8.061833333,8.074833333
2013,8.035166667,8.126,8.059916667,8.059833333,8.050666667,8.061583333,8.074833333,8.098333333,8.075833333,8.058,8.074416667
2014,8.03725,8.128,8.058333333,8.057416667,8.053833333,8.064666667,8.07275,8.09325,8.075166667,8.0565,8.069083333
2015,8.02925,8.122416667,8.055583333,8.05625,8.055083333,8.063666667,8.067666667,8.0935,8.072916667,8.057333333,8.063416667
2016,8.02625,8.10325,8.05575,8.050916667,8.05625,8.063083333,8.06575,8.093333333,8.06625,8.05275,8.055666667
2017,8.023166667,8.104916667,8.054,8.05,8.054333333,8.058416667,8.065083333,8.096166667,8.065416667,8.049,8.055416667
2018,8.022166667,8.119333333,8.054916667,8.049833333,8.049,8.055083333,8.065166667,8.084083333,8.061916667,8.049916667,8.053333333
2019,8.019416667,8.103333333,8.051416667,8.045833333,8.0515,8.055083333,8.0545,8.084833333,8.059333333,8.048,8.05175
2020,8.01475,8.121416667,8.04675,8.044083333,8.04175,8.050333333,8.048416667,8.093833333,8.05625,8.046333333,8.048083333
2021,8.011916667,8.115916667,8.037416667,8.045416667,8.040583333,8.04625,8.045333333,8.091583333,8.05625,8.047,8.049
