Coastal County Population,,,,,,,,,,,,,,
Population (Millions),,,,,,,,,,,,,,
Year,Alaska,California Current,Great Lakes,Gulf of Mexico,Hawai`i,Northeast,Southeast,Caribbean,National,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior
1970,0.222486,18.335758,19.677438,6.939288,0.769913,26.383712,2.791371,NA,75.119966,7.960616,0.488693,9.279163,1.443499,0.505467
1971,0.2344,18.6103,19.7938,7.1997,0.8012,26.6509,2.8976,NA,76.1879,7.9848,0.5037,9.3404,1.4522,0.5127
1972,0.2439,18.7526,19.7788,7.4228,0.8276,26.7379,2.9987,NA,76.7623,7.9393,0.5123,9.3517,1.4611,0.5144
1973,0.2495,18.9728,19.668,7.6418,0.8506,26.6838,3.1459,NA,77.2124,7.8668,0.5196,9.3101,1.4576,0.5139
1974,0.2584,19.2245,19.5909,7.8433,0.8666,26.6403,3.3061,NA,77.7301,7.7979,0.5259,9.3005,1.4537,0.5129
1975,0.2799,19.5259,19.5326,8.0678,0.8844,26.6282,3.395,NA,78.3138,7.7435,0.5299,9.2783,1.4637,0.5172
1976,0.2968,19.8374,19.479,8.2811,0.9021,26.6374,3.4626,NA,78.8964,7.6641,0.5347,9.2881,1.4667,0.5254
1977,0.3024,20.147,19.4186,8.4788,0.9158,26.5835,3.5253,NA,79.3714,7.6065,0.5395,9.278,1.467,0.5276
1978,0.3078,20.5298,19.3274,8.6983,0.9289,26.5153,3.6274,NA,79.9349,7.5521,0.5386,9.2542,1.4623,0.5202
1979,0.3097,20.8508,19.2427,8.9468,0.95,26.4836,3.7578,NA,80.5414,7.4994,0.5396,9.2246,1.4585,0.5206
1980,0.316187,21.196206,19.155281,9.147131,0.964691,26.453227,3.862399,NA,81.095122,7.461715,0.537419,9.189185,1.448962,0.518
1981,0.329192,21.685907,19.049554,9.496689,0.978195,26.629527,4.027304,NA,82.196368,7.369174,0.542668,9.16836,1.449849,0.519503
1982,0.355508,22.062639,18.960645,9.827918,0.99378,26.734466,4.136126,NA,83.071082,7.298897,0.536589,9.159098,1.450917,0.515144
1983,0.386063,22.452008,18.866023,10.042799,1.012717,26.975927,4.232179,NA,83.967716,7.241878,0.531744,9.134097,1.452293,0.506011
1984,0.407812,22.800969,18.821492,10.156054,1.027922,27.214408,4.338892,NA,84.767549,7.208304,0.531399,9.137333,1.446156,0.4983
1985,0.423006,23.230641,18.780949,10.264225,1.039698,27.418938,4.452722,NA,85.610179,7.184076,0.529749,9.129018,1.446793,0.491313
1986,0.43275,23.73328,18.747798,10.408657,1.051762,27.662372,4.580664,NA,86.617283,7.170345,0.530342,9.115231,1.447669,0.484211
1987,0.427019,24.217428,18.736362,10.439449,1.067917,27.878795,4.7105,NA,87.47747,7.154966,0.532287,9.118094,1.449604,0.481411
1988,0.42756,24.702751,18.7178,10.475683,1.079827,28.075842,4.83421,NA,88.313673,7.118601,0.533854,9.120414,1.46551,0.479421
1989,0.430671,25.20758,18.75365,10.589124,1.094588,28.187779,4.949967,NA,89.213359,7.110808,0.53604,9.141355,1.483878,0.481569
1990,0.437997,25.630261,18.786622,10.764103,1.112703,28.259102,7.044789,NA,92.035577,7.101876,0.540418,9.164656,1.496112,0.48356
1991,0.450949,25.905803,18.886504,10.944935,1.131412,28.319783,7.198467,NA,92.837853,7.129265,0.544346,9.222538,1.504246,0.486109
1992,0.466263,26.254248,18.994122,11.108779,1.149926,28.428717,7.330269,NA,93.732324,7.154414,0.547199,9.289202,1.514901,0.488406
1993,0.475072,26.459543,19.060697,11.264263,1.161508,28.569242,7.427934,NA,94.418259,7.169783,0.545146,9.335449,1.521444,0.488875
1994,0.477831,26.565344,19.098633,11.409205,1.173903,28.679433,7.556518,NA,94.960867,7.172895,0.546805,9.369147,1.521751,0.488035
1995,0.480019,26.702856,19.134997,11.528328,1.18049,28.802559,7.676313,NA,95.505562,7.181493,0.55086,9.402899,1.518476,0.481269
1996,0.48266,26.932623,19.174043,11.644928,1.184434,28.923638,7.817734,NA,96.16006,7.188868,0.554363,9.435769,1.515408,0.479635
1997,0.486984,27.312518,19.168198,11.790332,1.189322,29.058841,7.955639,NA,96.961834,7.165848,0.557563,9.455301,1.509742,0.479744
1998,0.49252,27.68829,19.15983,11.938829,1.190472,29.19351,8.066253,NA,97.729704,7.138631,0.56028,9.479394,1.502874,0.478651
1999,0.497263,28.013696,19.15787,12.065758,1.185497,29.36223,8.176907,NA,98.459221,7.115935,0.563644,9.502359,1.497477,0.478455
2000,0.52313,28.693025,19.534693,12.593895,1.211566,30.726093,8.581328,NA,101.86373,7.132029,0.575426,9.811843,1.524388,0.491007
2001,0.527074,28.991421,19.566563,12.767661,1.218305,30.981046,8.732729,NA,102.784799,7.13561,0.575135,9.843818,1.52068,0.49132
2002,0.534356,29.164061,19.565048,12.970468,1.228069,31.208342,8.895217,NA,103.565561,7.126654,0.574821,9.852296,1.52125,0.490027
2003,0.540531,29.298114,19.545363,13.147213,1.239298,31.402075,9.028647,NA,104.201241,7.115155,0.574939,9.848699,1.518475,0.488095
2004,0.547679,29.388826,19.522211,13.36655,1.252782,31.568657,9.206591,NA,104.853296,7.096745,0.574829,9.847403,1.516427,0.486807
2005,0.553207,29.452303,19.469473,13.589539,1.266117,31.686878,9.37373,NA,105.391247,7.066662,0.572745,9.833772,1.511743,0.484551
2006,0.560627,29.514351,19.416139,13.47393,1.275599,31.786918,9.478467,NA,105.506031,7.032032,0.571164,9.82172,1.508118,0.483105
2007,0.562291,29.653835,19.389517,13.747512,1.276832,31.928819,9.549594,NA,106.1084,6.992532,0.568599,9.837523,1.507636,0.483227
2008,0.567763,29.949688,19.380008,13.949941,1.287481,32.079989,9.630907,NA,106.845777,6.947897,0.564656,9.876034,1.507519,0.483902
2009,0.577712,30.266931,19.396838,14.115963,1.295178,32.274777,9.713176,NA,107.640575,6.918847,0.559752,9.923144,1.510939,0.484156
2010,0.593735,30.45709,19.185806,14.324436,1.36395,32.273056,9.827995,NA,108.026068,6.800821,0.557491,9.809196,1.52813,0.490168
2011,0.602159,30.763289,19.183547,14.510382,1.378251,32.521943,9.987476,NA,108.947047,6.779309,0.554535,9.827527,1.531435,0.490741
2012,0.608273,31.087532,19.194393,14.704779,1.392766,32.742729,10.123491,NA,109.853963,6.767435,0.55135,9.851744,1.533623,0.490241
2013,0.613944,31.422186,19.203383,14.924409,1.408987,32.957803,10.25027,NA,110.780982,6.755399,0.548971,9.877729,1.5315,0.489784
2014,0.614966,31.732814,19.192317,15.158338,1.419561,33.114203,10.390366,NA,111.622565,6.742557,0.546813,9.886569,1.527656,0.488722
2015,0.612205,31.888928,19.169643,15.436295,1.422052,33.085012,10.507804,2.141249,114.263188,6.739435,0.543279,9.885893,1.515459,0.485577
2016,0.615047,32.124816,19.123646,15.676494,1.427559,33.14788,10.689165,2.096549,114.901156,6.728257,0.540851,9.864875,1.506327,0.483336
2017,0.61414,32.281161,19.084945,15.850763,1.424393,33.187345,10.834197,2.042951,115.319895,6.717875,0.538921,9.842791,1.502527,0.482831
2018,0.610679,32.347391,19.044759,15.986466,1.420593,33.190997,10.933019,1.960208,115.494112,6.708689,0.53806,9.817678,1.498608,0.481724
2019,0.608896,32.376286,19.001976,16.123891,1.415872,33.21852433,11.029934,1.956003,115.685239,6.693917,0.536603,9.799163,1.492595,0.479698
2020,0.621249,32.80518,18.954091,16.260168,1.451043,33.24008283,11.12812033,1.8873421,116.3472763,6.818664,0.479348,9.861014,1.411244,0.383821
2021,0.622164,32.374139,18.821689,16.396732,1.447154,33.26164133,11.22598883,1.8366588,115.986167,6.781715,0.478519,9.767444,1.410945,0.383066
2022,0.621853,32.23887,18.705663,16.533296,1.440196,33.28319983,11.32385733,1.7859755,115.9329107,6.743421,0.478991,9.695544,1.40328,0.384427
