Recreational Fishing Engagement,,,,,,
% Moderately/Highly Engaged,,,,,,
Year,Alaska,Hawaii Pacific Islands,Northeast US,Southeast US,Gulf of Mexico,Nationwide
2009,12.70,NaN,15.30,27.80,23.40,17.70
2010,11.70,29.50,12.60,21.40,20.60,15.10
2011,11.80,31.00,12.00,22.70,22.10,15.30
2012,12.50,33.30,12.10,21.10,16.30,14.20
2013,12.20,31.00,11.60,19.90,19.00,14.40
2014,12.20,34.10,11.50,19.50,20.30,14.50
2015,11.30,31.00,11.90,21.80,16.10,13.80
2016,12.20,26.20,12.10,19.60,16.20,13.90
2017,11.40,23.80,11.50,21.70,11.60,12.60
2018,12.10,23.80,10.90,21.50,15.70,13.30
2019,12.10,26.20,12.20,21.50,14.40,15.30
2020,14.10,28.60,11.30,20.70,14.40,15.30
