Recreational Fishing Landings,,,,,,,,
Millions of Fish,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Northeast,Southeast,National
1981,NA,37.393702,NA,137.382994,NA,178.906278,139.748981,493.431955
1982,NA,35.03624,NA,134.688095,NA,147.294091,164.692417,481.710843
1983,NA,28.45881,NA,151.562706,NA,159.137343,141.659429,480.818288
1984,NA,31.099187,NA,169.413633,NA,143.863347,138.391125,482.767292
1985,NA,25.984298,NA,113.461821,NA,168.847236,160.847547,469.140902
1986,NA,30.729928,NA,127.719612,NA,183.488986,162.309347,504.247873
1987,NA,24.404757,NA,101.756385,NA,147.178898,94.117681,367.457721
1988,NA,29.19818,NA,102.59786,NA,115.228528,95.839724,342.864292
1989,NA,24.262985,NA,129.861557,NA,125.563888,91.16856,370.85699
1990,NA,NA,NA,131.796991,NA,109.412468,89.787982,330.997441
1991,NA,NA,NA,198.856278,NA,137.238329,101.29484,437.389447
1992,NA,0.117328,NA,152.387883,NA,111.855751,105.160005,369.520967
1993,NA,18.41188,NA,169.05819,NA,98.469136,87.963368,373.902574
1994,NA,15.023096,NA,155.476862,NA,119.295885,90.315289,380.111132
1995,NA,15.065414,NA,159.355934,NA,85.909678,74.368295,334.699321
1996,1.043632,19.488594,NA,136.716863,NA,79.590496,71.120566,307.960151
1997,1.06675,16.112911,NA,159.558762,NA,88.041437,68.11336,332.89322
1998,1.01881,18.324484,NA,141.458654,NA,80.023885,77.909519,318.735352
1999,1.230494,12.436253,NA,164.966333,NA,81.701496,132.269825,392.604401
2000,1.215,14.736464,3.457277,158.001006,NA,134.080161,128.316817,439.806725
2001,1.337856,17.724187,1.849453,168.358566,NA,82.412226,132.579855,404.262143
2002,1.31195,17.748831,1.266492,176.522971,NA,84.465976,150.102737,431.418957
2003,1.389627,16.882628,1.527089,157.677111,12.083798,101.483222,154.855551,445.899026
2004,1.578993,0.938449,0.870972,196.030167,4.087461,85.495443,135.9961,424.997585
2005,1.76999,12.354437,0.923947,133.003708,4.230473,77.257979,114.24998,343.790514
2006,1.312604,11.20567,0.664879,167.43888,4.721089,86.829348,128.309055,400.481525
2007,1.669002,7.765545,1.067645,138.04123,3.329063,103.981381,118.802836,374.656702
2008,1.435574,7.803105,1.341257,181.216732,4.354452,88.633416,122.584306,407.368842
2009,1.43222,8.203588,0.66359,177.026643,5.838841,73.939687,147.453601,414.55817
2010,1.325244,7.306614,0.392624,153.277091,4.893106,101.960648,104.928861,374.084188
2011,1.33641,9.040175,0.387316,143.88467,2.503623,93.113196,138.653247,388.918637
2012,1.213422,8.938203,0.47773,170.628379,2.763251,100.254351,111.974325,396.249661
2013,1.596058,9.007687,0.497202,200.338819,3.655893,106.572051,140.136674,461.804384
2014,1.482243,8.139328,1.164741,172.142526,3.718347,108.642011,146.3963,441.685496
2015,1.623355,9.487381,0.612419,186.912278,4.638345,95.257175,136.629825,435.160778
2016,1.382573,7.9746,1.178263,186.672484,2.483292,95.165899,132.346044,427.203155
2017,1.405534,8.676553,0.585672,167.340372,3.010371,109.983356,114.259413,405.261271
2018,1.213329,7.092536,NA,145.519003,10.361796,72.985815,104.268237,NA
2019,1.3642,7.394161,NA,130.658605,11.154561,83.394095,108.147121,NA
2020,0.915142,5.146198,NA,97.927104,8.187146,95.230187,136.193238,NA
2021,1.544151,7.310638,NA,85.268323,9.47309,94.404186,90.252027,NA
2022,NA,NA,NA,171.1871583,15.209656,102.962093,133.473007,NA
