Coastline Hospitality and Recreation Sector GDP,,,,,,,,,,,,,
Percent Change,,,,,,,,,,,,,
Year,Alaska,California Current,Gulf of Mexico,HI,Northeast,Southeast,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Great Lakes,National
2006,1.158084111,2.715013526,0.50335578,2.388932101,4.604801784,2.845520356,7.421774682,-4.776175182,2.882916404,2.652090857,-0.432069683,1.549707416,2.287246535
2007,-0.047036947,0.41982066,3.848648219,1.507127881,1.123409843,2.980782939,2.986045762,3.438947745,0.248990606,1.567588898,0.334992112,1.715313025,0.454332094
2008,-2.236993369,-1.94847489,-2.629004878,-7.339469196,-2.236342776,-3.967668103,-2.566763909,-6.38299805,-2.307001625,-1.666661104,-6.39804004,-3.864292945,-2.865023844
2009,-2.536875791,-4.129312886,0.02211884,-9.157928136,-1.789046456,-3.65242866,-0.782081004,1.787685473,0.936391318,0.218647207,3.63597234,1.159323067,-6.642299001
2010,2.261391164,1.673989281,1.394331738,1.815002898,3.076025098,1.386272291,0.596716619,-0.623457772,0.897661597,2.307147797,1.493660272,0.934345703,3.195168836
2011,3.796773525,2.358071012,0.386904305,4.664580041,1.344023929,1.77860001,0.440933665,-3.646258585,-0.870103937,1.108181986,-2.857025709,-1.164854516,4.892242993
2012,3.740540184,4.240152807,4.834183484,6.505651266,4.134602513,3.549177005,1.122806068,2.15619491,1.553203901,1.636182473,2.389622238,1.771601918,3.03980027
2013,3.445262851,2.487000543,5.291834061,5.680013086,1.042724304,3.578581923,0.052613081,5.722533075,5.792490002,7.45599075,1.282231031,4.061171588,1.981338092
2014,3.78674855,6.289943944,5.057485138,3.799436014,4.687470002,3.220835736,2.73076751,-5.89924514,2.3989601,2.525028975,5.128751435,1.376852576,3.085419658
2015,10.10308443,12.66577812,4.643019315,7.731842083,5.906205651,5.576269773,3.441599326,0.952348611,2.042719196,4.186682024,3.405945257,2.805858883,4.075202535
2016,1.555817296,8.576159504,3.777553309,5.018831534,10.15275982,4.826578033,7.853552562,9.139004261,1.818096569,13.26533496,2.135986558,6.842394981,6.581612499
2017,-1.468974031,2.711934001,0.729309985,4.377316417,3.507585289,2.020637832,1.926899636,0.282404138,2.063442302,-9.241786137,0.560261871,-0.881755638,1.103027382
2018,0.07739908,6.462730984,1.220893732,13.8979613,6.977356331,3.945091178,3.571689024,6.246967759,10.13223907,11.22600068,6.591189573,7.553617223,5.870161945
2019,0.873313423,5.319509665,2.607702453,3.74868702,3.199126923,1.831644717,-1.839082169,-0.210624118,-0.418357577,-0.480528627,-1.238808132,-0.837480125,1.217507598
2020,-30.77433003,-23.24336171,-10.00257082,-38.40181314,-28.16460472,-12.59760494,-21.00675377,-12.37090491,-14.99372331,-24.39713149,-8.825878214,-16.31887834,-20.43442519
