Coastal County Tourism Wage Compensation,,,,,,,,,,,,,,
% Change Real Wage,,,,,,,,,,,,,,
Year,Alaska,California Current,Caribbean,Gulf of Mexico,Hawaii,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Northeast,Southeast,Great Lakes,National
2006,2.345674821,3.439212078,-2.268304545,0.831380771,10.8800969,7.367888006,-4.057786079,1.720460038,3.773014223,1.954843448,0.492390581,5.227145559,3.138055179,2.642167983
2007,2.941570964,3.896104724,-0.642371832,5.358917222,-5.99792246,3.684418453,4.311255997,3.872370969,2.790450567,2.780549301,2.103274062,1.585057771,3.378520325,2.223639645
2008,-0.143561458,0.544227676,-0.969473696,0.300162483,3.684480913,-0.387764382,-4.141227649,-2.659923045,-0.692255803,-0.43088563,-4.648096888,-0.646940309,-0.655495942,-0.849271482
2009,-2.549293464,-5.071969457,-4.752754198,-0.287640883,-15.54317932,-2.854928076,-1.299202225,-3.871334005,-1.721585569,0.58731721,0.716285079,-2.459665226,-2.902929873,-3.258995844
2010,1.313942783,0.309389274,2.638100915,0.768407118,7.999890937,0.780958416,-0.041876549,2.601737823,1.36433966,2.420021112,1.983659046,2.169263336,0.643962679,2.025652823
2011,3.012219759,1.802167229,-0.580891992,1.480174694,-6.847078558,1.703504201,-1.968791351,2.354168194,-0.400438911,1.708013747,-1.742488119,1.2106496,2.669336393,0.144267375
2012,2.89617593,4.240633485,1.875064798,3.937353249,4.981379772,1.313895367,2.368125559,17.81603511,1.278966795,1.999284212,2.308205363,3.781854805,2.326596788,4.066414537
2013,1.158230042,3.242037466,0.769953395,3.141816109,12.2323973,-1.0151637,1.417313319,5.93074349,3.215927868,11.53321947,-2.087899426,2.792210511,3.799768424,3.527565487
2014,3.719598909,5.7044668,1.546736856,5.256786184,3.555232358,2.942587345,-6.12444338,4.555955294,3.007336944,3.216926904,5.160619412,4.336738862,3.524734399,3.073211874
2015,6.174060748,7.62452177,3.601603547,6.751702988,4.933112556,5.904427429,4.342728787,6.696730439,4.087048318,5.011374278,6.091710622,6.384953367,8.97976931,5.633664571
2016,0.360121111,6.368940812,-2.386313562,3.218348573,4.551142776,5.153646336,8.59541619,3.699057372,3.838982404,5.362908197,3.107149912,4.16376621,4.462328409,3.836097194
2017,-0.930178962,3.847338003,-5.358867627,1.509480347,-2.770620824,2.327578218,1.292045097,6.240476193,3.987826585,-10.65951673,1.976447196,3.569786657,2.827461009,0.419316179
2018,1.683688281,4.383207827,-14.38590408,3.367581801,1.790054852,-2.027710989,1.208755622,4.937440431,6.207570731,3.218496666,2.164340251,2.884057059,2.949503952,1.285964871
2019,2.459069819,6.175927025,9.923731236,3.961612262,4.18334888,1.213777499,3.750744641,2.628833354,0.649195725,1.590626217,1.568936022,4.032535227,1.293842127,3.511528159
2020,-36.39915978,-26.32730854,-30.29252283,-17.65721223,-72.6354581,-26.79496616,-17.1239441,-20.00366835,-25.28989563,-25.3038076,-14.40199153,-39.5461557,-22.60017752,-29.31467421
